iso3_code,common_name,official_name,flag_image_path
AFG,Afghanistan,"Islamic Republic of Afghanistan",data/flag-of-afghanistan.svg
ALB,Albania,"Republic of Albania",data/flag-of-albania.svg
DZA,Algeria,"People's Democratic Republic of Algeria",data/flag-of-algeria.svg
AND,Andorra,"Principality of Andorra",data/flag-of-andorra.svg
AGO,Angola,"Republic of Angola",data/flag-of-angola.svg
ATG,"Antigua & Barbuda","Antigua and Barbuda",data/flag-of-antigua-and-barbuda.svg
ARG,Argentina,"Argentine Republic",data/flag-of-argentina.svg
ARM,Armenia,"Republic of Armenia",data/flag-of-armenia.svg
AUS,Australia,Australia,data/flag-of-australia.svg
AUT,Austria,"Republic of Austria",data/flag-of-austria.svg
AZE,Azerbaijan,"Republic of Azerbaijan",data/flag-of-azerbaijan.svg
BHS,Bahamas,"Commonwealth of the Bahamas",data/flag-of-the-bahamas.svg
BHR,Bahrain,"Kingdom of Bahrain",data/flag-of-bahrain.svg
BGD,Bangladesh,"People's Republic of Bangladesh",data/flag-of-bangladesh.svg
BRB,Barbados,Barbados,data/flag-of-barbados.svg
BLR,Belarus,"Republic of Belarus",data/flag-of-belarus.svg
BEL,Belgium,"Kingdom of Belgium",data/flag-of-belgium.svg
BLZ,Belize,Belize,data/flag-of-belize.svg
BEN,Benin,"Republic of Benin",data/flag-of-benin.svg
BTN,Bhutan,"Kingdom of Bhutan",data/flag-of-bhutan.svg
BOL,Bolivia,"Plurinational State of Bolivia",data/flag-of-bolivia.svg
BIH,"Bosnia & Herzegovina","Republic of Bosnia and Herzegovina",data/flag-of-bosnia-and-herzegovina.svg
BWA,Botswana,"Republic of Botswana",data/flag-of-botswana.svg
BRA,Brazil,"Federative Republic of Brazil",data/flag-of-brazil.svg
BRN,Brunei,"Brunei Darussalam",data/flag-of-brunei.svg
BGR,Bulgaria,"Republic of Bulgaria",data/flag-of-bulgaria.svg
BFA,"Burkina Faso","Burkina Faso",data/flag-of-burkina-faso.svg
BDI,Burundi,"Republic of Burundi",data/flag-of-burundi.svg
KHM,Cambodia,"Kingdom of Cambodia",data/flag-of-cambodia.svg
CMR,Cameroon,"Republic of Cameroon",data/flag-of-cameroon.svg
CAN,Canada,Canada,data/flag-of-canada.svg
CPV,"Cape Verde","Republic of Cape Verde",data/flag-of-cape-verde.svg
CAF,"Central African Republic","Central African Republic",data/flag-of-the-central-african-republic.svg
