iso3_code,common_name,un_member_since
AFG,Afghanistan,1946-11-19
ALB,Albania,1955-12-14
DZA,Algeria,1962-10-08
AND,Andorra,1993-07-28
AGO,Angola,1976-12-01
ATG,"Antigua & Barbuda",1981-11-11
ARG,Argentina,1945-10-24
ARM,Armenia,1992-03-02
AUS,Australia,1945-11-01
AUT,Austria,1955-12-14
AZE,Azerbaijan,1992-03-02
BHS,Bahamas,1973-09-18
BHR,Bahrain,1971-09-21
BGD,Bangladesh,1974-09-17
BRB,Barbados,1966-12-09
BLR,Belarus,1945-10-24
BEL,Belgium,1945-12-27
BLZ,Belize,1981-09-25
BEN,Benin,1960-09-20
BTN,Bhutan,1971-09-21
BOL,Bolivia,1945-11-14
BIH,"Bosnia & Herzegovina",1992-05-22
BWA,Botswana,1966-10-17
BRA,Brazil,1945-10-24
BRN,Brunei,1984-09-21
BGR,Bulgaria,1955-12-14
BFA,"Burkina Faso",1960-09-20
BDI,Burundi,1962-09-18
KHM,Cambodia,1955-12-14
CMR,Cameroon,1960-09-20
CAN,Canada,1945-11-09
CPV,"Cape Verde",1975-09-16
CAF,"Central African Republic",1960-09-20
TCD,Chad,1960-09-20
CHL,Chile,1945-10-24
CHN,China,1945-10-24
COL,Colombia,1945-11-05
COM,Comoros,1975-11-12
COG,"Congo - Brazzaville",1960-09-20
COD,"Congo - Kinshasa",1960-09-20
CRI,"Costa Rica",1945-11-02
HRV,Croatia,1992-05-22
CUB,Cuba,1945-10-24
CYP,Cyprus,1960-09-20
CZE,"Czech Republic",1993-01-19
CIV,"Côte d’Ivoire",1960-09-20
DNK,Denmark,1945-10-24
DJI,Djibouti,1977-09-20
DMA,Dominica,1978-12-18
DOM,"Dominican Republic",1945-10-24
ECU,Ecuador,1945-12-21
EGY,Egypt,1945-10-24
SLV,"El Salvador",1945-10-24
GNQ,"Equatorial Guinea",1968-11-12
ERI,Eritrea,1993-05-28
EST,Estonia,1991-09-17
ETH,Ethiopia,1945-11-13
FJI,Fiji,1970-10-13
FIN,Finland,1955-12-14
FRA,France,1945-10-24
GAB,Gabon,1960-09-20
GMB,Gambia,1965-09-21
GEO,Georgia,1992-07-31
DEU,Germany,1973-09-18
GHA,Ghana,1957-03-08
GRC,Greece,1945-10-25
GRD,Grenada,1974-09-17
GTM,Guatemala,1945-11-21
GIN,Guinea,1958-12-12
GNB,Guinea-Bissau,1974-09-17
GUY,Guyana,1966-09-20
HTI,Haiti,1945-10-24
HND,Honduras,1945-12-17
HUN,Hungary,1955-12-14
ISL,Iceland,1946-11-19
IND,India,1945-10-30
IDN,Indonesia,1950-09-28
