iso3_code,common_name,wmo_member_since
AFG,Afghanistan,1956-09-11
ALB,Albania,1957-07-29
DZA,Algeria,1963-04-04
AGO,Angola,1977-03-16
ATG,"Antigua & Barbuda",1988-11-16
ARG,Argentina,1951-01-02
ARM,Armenia,1992-09-16
AUS,Australia,1949-03-14
AUT,Austria,1955-02-23
AZE,Azerbaijan,1993-12-27
BHS,Bahamas,1973-11-29
BHR,Bahrain,1980-04-21
BGD,Bangladesh,1973-08-24
BRB,Barbados,1967-03-22
BLR,Belarus,1948-04-12
BEL,Belgium,1951-02-02
BLZ,Belize,1982-05-25
BEN,Benin,1963-04-14
BTN,Bhutan,2003-02-11
BOL,Bolivia,1954-05-15
BIH,"Bosnia & Herzegovina",1994-06-01
BWA,Botswana,1967-10-16
BRA,Brazil,1950-03-15
BCT,"British Caribbean Territories",1953-09-24
BRN,Brunei,1984-11-26
BGR,Bulgaria,1952-03-12
BFA,"Burkina Faso",1960-10-31
BDI,Burundi,1962-10-30
KHM,Cambodia,1955-11-08
CMR,Cameroon,1960-12-17
CAN,Canada,1950-07-28
CPV,"Cape Verde",1975-10-21
CAF,"Central African Republic",1961-06-28
TCD,Chad,1961-02-02
CHL,Chile,1957-05-09
CHN,China,1951-04-01
COL,Colombia,1962-01-05
COM,Comoros,1976-03-19
COG,"Congo - Brazzaville",1960-11-21
COD,"Congo - Kinshasa",1960-11-05
COK,"Cook Islands",1995-10-18
CRI,"Costa Rica",1960-12-16
HRV,Croatia,1992-10-09
CUB,Cuba,1952-03-04
CUW,"Curaçao",1951-09-12
CYP,Cyprus,1963-04-11
CZE,"Czech Republic",1993-01-25
CIV,"Côte d’Ivoire",1960-10-31
DNK,Denmark,1951-07-10
DJI,Djibouti,1978-06-30
DMA,Dominica,1980-02-21
DOM,"Dominican Republic",1949-09-15
ECU,Ecuador,1951-06-07
EGY,Egypt,1950-01-10
SLV,"El Salvador",1955-05-27
ERI,Eritrea,1993-07-08
EST,Estonia,1992-08-21
ETH,Ethiopia,1953-12-03
FJI,Fiji,1980-03-18
FIN,Finland,1949-01-07
FRA,France,1949-12-05
PYF,"French Polynesia",1949-12-05
GAB,Gabon,1961-06-05
GMB,Gambia,1978-10-02
GEO,Georgia,1993-09-01
DEU,Germany,1954-06-10
GHA,Ghana,1957-05-06
GRC,Greece,1950-01-20
GTM,Guatemala,1952-03-21
GIN,Guinea,1959-03-27
GNB,Guinea-Bissau,1977-12-15
GUY,Guyana,1966-11-22
HTI,Haiti,1951-08-14
HND,Honduras,1960-10-10
HKG,"Hong Kong SAR China",1948-12-14
HUN,Hungary,1951-02-15
ISL,Iceland,1948-01-16
IND,India,1949-04-27
IDN,Indonesia,1950-11-16
IRN,Iran,1959-09-30
IRQ,Iraq,1950-02-21
IRL,Ireland,1950-03-14
ISR,Israel,1949-09-30
ITA,Italy,1951-01-09
JAM,Jamaica,1963-05-29
JPN,Japan,1953-08-11
JOR,Jordan,1955-07-11
KAZ,Kazakhstan,1993-05-05
KEN,Kenya,1964-06-02
KIR,Kiribati,2003-03-26
KWT,Kuwait,1962-12-01
KGZ,Kyrgyzstan,1994-07-20
LAO,Laos,1955-06-01
LVA,Latvia,1992-05-15
LBN,Lebanon,1948-12-22
LSO,Lesotho,1979-08-03
LBR,Liberia,1974-02-07
LBY,Libya,1955-12-29
LTU,Lithuania,1992-06-03
LUX,Luxembourg,1952-10-29
MAC,"Macau SAR China",1996-01-24
MKD,Macedonia,1993-06-01
MDG,Madagascar,1960-12-15
MWI,Malawi,1965-02-15
MYS,Malaysia,1958-05-19
MDV,Maldives,1978-06-01
MLI,Mali,1960-11-11
MLT,Malta,1976-12-28
MRT,Mauritania,1962-01-23
MUS,Mauritius,1969-07-17
MEX,Mexico,1949-05-27
FSM,Micronesia,1995-09-20
MDA,Moldova,1994-11-21
MCO,Monaco,1996-04-09
MNG,Mongolia,1963-04-04
MNE,Montenegro,2007-01-05
MAR,Morocco,1957-01-03
MOZ,Mozambique,1976-06-21
MMR,"Myanmar (Burma)",1949-08-19
NAM,Namibia,1991-02-06
NPL,Nepal,1966-08-12
NLD,Netherlands,1951-09-12
NCL,"New Caledonia",1949-12-05
NZL,"New Zealand",1948-04-02
NIC,Nicaragua,1959-02-27
NER,Niger,1960-10-28
NGA,Nigeria,1960-11-30
NIU,Niue,1996-05-31
PRK,"North Korea",1975-05-27
NOR,Norway,1948-12-09
OMN,Oman,1975-01-03
PAK,Pakistan,1950-04-11
PAN,Panama,1967-09-12
PNG,"Papua New Guinea",1975-12-15
PRY,Paraguay,1950-09-15
PER,Peru,1949-12-30
PHL,Philippines,1949-04-05
POL,Poland,1950-05-16
PRT,Portugal,1951-01-15
QAT,Qatar,1975-04-04
ROU,Romania,1948-08-18
RUS,Russia,1948-04-02
RWA,Rwanda,1963-02-04
WSM,Samoa,1995-07-11
SAU,"Saudi Arabia",1959-02-26
SEN,Senegal,1960-11-11
SRB,Serbia,2001-03-23
SYC,Seychelles,1977-02-15
SLE,"Sierra Leone",1962-03-30
SGP,Singapore,1966-01-24
SVK,Slovakia,1993-02-11
SVN,Slovenia,1992-08-20
SLB,"Solomon Islands",1985-05-06
SOM,Somalia,1964-03-02
ZAF,"South Africa",1950-01-17
KOR,"South Korea",1956-02-15
SSD,"South Sudan",2012-12-14
ESP,Spain,1951-02-27
LKA,"Sri Lanka",1951-05-23
LCA,"St. Lucia",1981-03-02
SDN,Sudan,1956-12-03
SUR,Suriname,1976-07-26
SWZ,Swaziland,1982-11-02
SWE,Sweden,1948-11-10
CHE,Switzerland,1949-02-23
SYR,Syria,1952-07-16
STP,"São Tomé & Príncipe",1976-11-23
TJK,Tajikistan,1993-08-10
TZA,Tanzania,1962-09-14
THA,Thailand,1949-07-11
TLS,Timor-Leste,2009-12-04
TGO,Togo,1960-10-28
TON,Tonga,1996-02-25
TTO,"Trinidad & Tobago",1963-02-01
TUN,Tunisia,1957-01-22
TUR,Turkey,1949-08-05
TKM,Turkmenistan,1992-12-04
TUV,Tuvalu,2012-09-22
UGA,Uganda,1963-03-15
UKR,Ukraine,1948-04-12
ARE,"United Arab Emirates",1986-12-17
GBR,"United Kingdom",1948-12-14
USA,"United States",1949-05-04
URY,Uruguay,1951-01-11
UZB,Uzbekistan,1992-12-23
VUT,Vanuatu,1982-06-24
VEN,Venezuela,1950-06-16
VNM,Vietnam,1975-07-08
YEM,Yemen,1971-07-08
ZMB,Zambia,1964-12-28
ZWE,Zimbabwe,1981-01-12
