Alpha-2 ISO Country Code,Numeric ISO Country Code,Alpha-3 ISO Country Code,FIPS 10,Internet TLD
AA,958,AAA,,
AC,,ASC,,
AD,020,AND,AN,
AE,784,ARE,,
AF,004,AFG,,
AG,028,ATG,AC,
AI,660,AIA,AV,
AL,008,ALB,,
AM,051,ARM,,
AN,530,ANT,NT,
AO,024,AGO,,
AQ,010,ATA,AY,
AR,032,ARG,,
AS,016,ASM,AQ,
AT,040,AUT,AU,
AU,036,AUS,AS,
AW,533,ABW,AA,
AX,248,ALA,,
AZ,031,AZE,AJ,
BA,070,BIH,BK,
BB,052,BRB,,
BD,050,BGD,BG,
BE,056,BEL,,
BF,854,BFA,UV,
BG,100,BGR,BU,
BH,048,BHR,BA,
BI,108,BDI,BY,
BJ,204,BEN,BN,
BL,652,BLM,TB,
BM,060,BMU,BD,
BN,096,BRN,BX,
BO,068,BOL,BL,
BQ,535,BES,,
BR,076,BRA,,
BS,044,BHS,BF,
BT,064,BTN,,
BU,104,BUR,,
BV,074,BVT,,
BW,072,BWA,BC,
BY,112,BLR,BO,
BZ,084,BLZ,BH,
CA,124,CAN,,
CC,166,CCK,CK,
CD,180,COD,CG,
CF,140,CAF,CT,
CG,178,COG,CF,
CH,756,CHE,SZ,
CI,384,CIV,IV,
CK,184,COK,CW,
CL,152,CHL,CI,
CM,120,CMR,,
CN,156,CHN,CH,
CO,170,COL,,
CP,,CPT,,
CR,188,CRI,CS,
CS,891,SCG,YI,
CU,192,CUB,,
CV,132,CPV,,
CW,531,CUW,,
CX,162,CXR,KT,
CY,196,CYP,,
CZ,203,CZE,EZ,
DD,278,DDR,,
DE,276,DEU,GM,
DG,,DGA,,
DJ,262,DJI,,
DK,208,DNK,DA,
DM,212,DMA,DO,
DO,214,DOM,DR,
DZ,012,DZA,AG,
EA,,,,
EC,218,ECU,,
EE,233,EST,EN,
EG,818,EGY,,
EH,732,ESH,WI,
ER,232,ERI,,
ES,724,ESP,SP,
ET,231,ETH,,
EU,967,QUU,,
FI,246,FIN,,
FJ,242,FJI,,
FK,238,FLK,,
FM,583,FSM,,
FO,234,FRO,,
FR,250,FRA,,
FX,249,FXX,,
GA,266,GAB,GB,
GB,826,GBR,UK,UK GB
GD,308,GRD,GJ,
GE,268,GEO,GG,
GF,254,GUF,FG,
GG,831,GGY,GK,
GH,288,GHA,,
GI,292,GIB,,
GL,304,GRL,,
GM,270,GMB,GA,
GN,324,GIN,GV,
GP,312,GLP,,
GQ,226,GNQ,EK,
GR,300,GRC,,
GS,239,SGS,SX,
GT,320,GTM,,
GU,316,GUM,GQ,
GW,624,GNB,PU,
GY,328,GUY,,
HK,344,HKG,,
HM,334,HMD,,
HN,340,HND,HO,
HR,191,HRV,,
HT,332,HTI,HA,
HU,348,HUN,,
IC,,,,
ID,360,IDN,,
IE,372,IRL,EI,
IL,376,ISR,IS,
IM,833,IMN,,
IN,356,IND,,
IO,086,IOT,,
IQ,368,IRQ,IZ,
IR,364,IRN,,
IS,352,ISL,IC,
IT,380,ITA,,
JE,832,JEY,,
JM,388,JAM,,
JO,400,JOR,,
JP,392,JPN,JA,
KE,404,KEN,,
KG,417,KGZ,,
KH,116,KHM,CB,
KI,296,KIR,KR,
KM,174,COM,CN,
KN,659,KNA,SC,
KP,408,PRK,KN,
KR,410,KOR,KS,
KW,414,KWT,KU,
KY,136,CYM,CJ,
KZ,398,KAZ,,
LA,418,LAO,,
LB,422,LBN,LE,
LC,662,LCA,ST,
LI,438,LIE,LS,
LK,144,LKA,CE,
LR,430,LBR,LI,
LS,426,LSO,LT,
LT,440,LTU,LH,
LU,442,LUX,,
