Region,Description,Flag Picture URL,Flag URL,Country URL
Africa,Flag of Anjouan (de facto independent 1997–2002),/wiki/File:Flag_of_Anjouan.svg,//en.wikipedia.org/wiki/Flag_of_Anjouan,//en.wikipedia.org/wiki/Anjouan
Africa,Flag of Asanteman (independent until 1957),/wiki/File:Flag_of_Ashanti.svg,//en.wikipedia.org/wiki/Flag_of_Asanteman,//en.wikipedia.org/wiki/Asanteman
Africa,Flag of Biafra (de facto independent 1967–1970),/wiki/File:Flag_of_Biafra.svg,//en.wikipedia.org/wiki/Flag_of_Biafra,//en.wikipedia.org/wiki/Biafra
Africa,Flag of Republic of Benin (extremely short-lived independence 1967),/wiki/File:Flag_of_the_Republic_of_Benin.svg,//en.wikipedia.org/wiki/Flag_of_Republic_of_Benin,//en.wikipedia.org/wiki/Republic_of_Benin_(unrecognized_state)
Africa,Flag of w:Bophuthatswana (independent 1977–1994; recognized by South Africa),/wiki/File:Flag_of_Bophuthatswana.svg,//en.wikipedia.org/wiki/Flag_of_Bophuthatswana,//en.wikipedia.org/wiki/Bophuthatswana
Africa,Flag of w:Republic of Cabinda (de facto independent 1975–1976; current flags of independence movement FLEC are different),/wiki/File:Bandera_de_Cabinda.svg,//en.wikipedia.org/wiki/Flag_of_Cabinda,//en.wikipedia.org/wiki/Republic_of_Cabinda
Africa,Flag of w:Ciskei (independent 1981–1994; recognized by South Africa),/wiki/File:Flag_of_Ciskei.svg,//en.wikipedia.org/wiki/Flag_of_Ciskei,//en.wikipedia.org/wiki/Ciskei
Africa,Flag of w:State of Katanga (de facto independent 1960–1963),/wiki/File:Flag_of_Katanga.svg,//en.wikipedia.org/wiki/Flag_of_Katanga,//en.wikipedia.org/wiki/State_of_Katanga
Africa,Flag of the w:Kingdom of Merina (independent until 1896),/wiki/File:Merina_Kingdom_flag.svg,//en.wikipedia.org/wiki/Merina_Kingdom_flag,//en.wikipedia.org/wiki/Kingdom_of_Merina
Africa,Flag of w:Mohéli (de facto independent 1997; current local flag is different),/wiki/File:Flag_of_Moh%C3%A9li.svg,//en.wikipedia.org/wiki/Flag_of_Moh%C3%A9li,//en.wikipedia.org/wiki/Moh%C3%A9li
Africa,Flag of the w:Natalia Republic (independent 1839–1843),/wiki/File:Flag_of_Natalia_Republic.svg,//en.wikipedia.org/wiki/Flag_of_the_Natalia_Republic,//en.wikipedia.org/wiki/Natalia_Republic
Africa,Flag of the w:Orange Free State (Independent 1854–1902),/wiki/File:Flag_of_the_Orange_Free_State.svg,//en.wikipedia.org/wiki/Flag_of_the_Orange_Free_State,//en.wikipedia.org/wiki/Orange_Free_State
Africa,Flag of the w:Islands of Refreshment (de facto independent 1811–1816),/wiki/File:Flag_of_the_Islands_of_Refreshment.svg,//en.wikipedia.org/wiki/Flag_of_the_Islands_of_Refreshment,//en.wikipedia.org/wiki/Islands_of_Refreshment
Africa,Flag of w:Rhodesia (de facto independent 1965–1979),/wiki/File:Flag_of_Rhodesia.svg,//en.wikipedia.org/wiki/Flag_of_Rhodesia,//en.wikipedia.org/wiki/Rhodesia
Africa,Flag of the w:Federation of Rhodesia and Nyasaland (de facto independent 1953-1963),/wiki/File:Flag_of_the_Federation_of_Rhodesia_and_Nyasaland.svg,//en.wikipedia.org/wiki/Flag_of_the_Federation_of_Rhodesia_and_Nyasaland,//en.wikipedia.org/wiki/Federation_of_Rhodesia_and_Nyasaland
