"ISO Country Code","English Country Name","French Country Name","Date of Membership"
"AFG","Afghanistan","Afghanistan","1956-09-11"
"ALB","Albania","Albanie","1957-07-29"
"DZA","Algeria","Algérie","1963-04-04"
"AGO","Angola","Angola","1977-03-16"
"ATG","Antigua and Barbuda","Antigua-et-Barbuda","1988-11-16"
"ARG","Argentina","Argentine","1951-01-02"
"ARM","Armenia","Arménie","1992-09-16"
"AUS","Australia","Australie","1949-03-14"
"AUT","Austria","Autriche","1955-02-23"
"AZE","Azerbaijan","Azerbaïdjan","1993-12-27"
"BHS","Bahamas","Bahamas","1973-11-29"
"BHR","Bahrain","Bahreïn","1980-04-21"
"BGD","Bangladesh","Bangladesh","1973-08-24"
"BRB","Barbados","Barbade","1967-03-22"
"BLR","Belarus","Bélarus","1948-04-12"
"BEL","Belgium","Belgique","1951-02-02"
"BLZ","Belize","Belize","1982-05-25"
"BEN","Benin","Bénin","1963-04-14"
"BTN","Bhutan","Bhoutan","2003-02-11"
"BOL","Bolivia, Plurinational State of","Bolivie, État plurinational de","1954-05-15"
"BIH","Bosnia and Herzegovina","Bosnie-Herzégovine","1994-06-01"
"BWA","Botswana","Botswana","1967-10-16"
"BRA","Brazil","Brésil","1950-03-15"
"BCT","British Caribbean Territories","Territoires britanniques des Caraïbes","1953-09-24"
"BRN","Brunei Darussalam","Brunéi Darussalam","1984-11-26"
"BGR","Bulgaria","Bulgarie","1952-03-12"
"BFA","Burkina Faso","Burkina Faso","1960-10-31"
"BDI","Burundi","Burundi","1962-10-30"
"CPV","Cabo Verde","Cabo Verde","1975-10-21"
"KHM","Cambodia","Cambodge","1955-11-08"
"CMR","Cameroon","Cameroun","1960-12-17"
"CAN","Canada","Canada","1950-07-28"
"CAF","Central African Republic","République centrafricaine","1961-06-28"
"TCD","Chad","Tchad","1961-02-02"
"CHL","Chile","Chili","1957-05-09"
"CHN","China","Chine","1951-04-01"
"COL","Colombia","Colombie","1962-01-05"
"COM","Comoros","Comores","1976-03-19"
"COG","Congo","Congo","1960-11-21"
"COK","Cook Islands","Iles Cook","1995-10-18"
"CRI","Costa Rica","Costa Rica","1960-12-16"
"CIV","Côte d'Ivoire","Côte d'Ivoire","1960-10-31"
"HRV","Croatia","Croatie","1992-10-09"
"CUB","Cuba","Cuba","1952-03-04"
"CUW","Curaçao and Sint Maarten","Curaçao et St Martin","1951-09-12"
"CYP","Cyprus","Chypre","1963-04-11"
"CZE","Czech Republic","République tchèque","1993-01-25"
"PRK","Democratic People's Republic of Korea","République populaire démocratique de Corée","1975-05-27"
"COD","Democratic Republic of the Congo","République démocratique du Congo","1960-11-05"
"DNK","Denmark","Danemark","1951-07-10"
"DJI","Djibouti","Djibouti","1978-06-30"
"DMA","Dominica","Dominique","1980-02-21"
"DOM","Dominican Republic","République dominicaine","1949-09-15"
"ECU","Ecuador","Equateur","1951-06-07"
"EGY","Egypt","Egypte","1950-01-10"
"SLV","El Salvador","El Salvador","1955-05-27"
"ERI","Eritrea","Erythrée","1993-07-08"
"EST","Estonia","Estonie","1992-08-21"
"ETH","Ethiopia","Ethiopie","1953-12-03"
"FJI","Fiji","Fidji","1980-03-18"
"FIN","Finland","Finlande","1949-01-07"
"FRA","France","France","1949-12-05"
"PYF","French Polynesia","Polynésie française","1949-12-05"
"GAB","Gabon","Gabon","1961-06-05"
"GMB","Gambia","Gambie","1978-10-02"
