"Anarchist flag.svg","wikimedia (extinct states)"
"Asafia flag of Hyderabad State.png","wikimedia (extinct states)"
"Bandeira da Terceira Rep%C3%BAblica do Acre.svg","wikimedia (extinct states)"
"Bandeira do Estado Independente do Acre.svg","wikimedia (extinct states)"
"Bandera de Cabinda.svg","wikimedia (extinct states)"
"Bandiere dal Fri%C3%BBl.svg","wikimedia (extinct states)"
Bonnieblue.svg,"wikimedia (extinct states)"
ChavacanoFlag.svg,"wikimedia (extinct states)"
"Confederate National Flag since Mar 4 1865.svg","wikimedia (extinct states)"
"Easter Island flag 1876 to 1888.png","wikimedia (extinct states)"
"FNL Flag.svg","wikimedia (extinct states)"
"Flag Rwanda 1959.svg","wikidata (with ISO3)"
"Flag of %C3%85land.svg","wikipedia (dependent states)"
"Flag of Abkhazia.svg","wikipedia (sovereign states)"
"Flag of Afghanistan.svg","wikidata (with ISO3)"
"Flag of Afghanistan.svg","wikipedia (sovereign states)"
"Flag of Albania.svg","wikidata (with ISO3)"
"Flag of Albania.svg","wikipedia (sovereign states)"
"Flag of Alderney.svg","wikipedia (dependent states)"
"Flag of Algeria.svg","wikidata (with ISO3)"
"Flag of Algeria.svg","wikipedia (sovereign states)"
"Flag of American Samoa.svg","wikidata (with ISO3)"
"Flag of American Samoa.svg","wikipedia (dependent states)"
"Flag of Andorra.svg","wikidata (with ISO3)"
"Flag of Andorra.svg","wikipedia (sovereign states)"
"Flag of Angola.svg","wikidata (with ISO3)"
"Flag of Angola.svg","wikipedia (sovereign states)"
"Flag of Anguilla (1967-1969).svg","wikimedia (extinct states)"
"Flag of Anguilla.svg","wikidata (with ISO3)"
"Flag of Anguilla.svg","wikipedia (dependent states)"
"Flag of Anjouan.svg","wikimedia (extinct states)"
"Flag of Antigua and Barbuda.svg","wikidata (with ISO3)"
"Flag of Antigua and Barbuda.svg","wikipedia (sovereign states)"
"Flag of Argentina.svg","wikidata (with ISO3)"
"Flag of Argentina.svg","wikipedia (sovereign states)"
"Flag of Armenia.svg","wikidata (with ISO3)"
"Flag of Armenia.svg","wikipedia (sovereign states)"
"Flag of Aruba.svg","wikidata (with ISO3)"
"Flag of Aruba.svg","wikipedia (dependent states)"
"Flag of Ascension Island.svg","wikipedia (dependent states)"
"Flag of Ashanti.svg","wikimedia (extinct states)"
"Flag of Australia.svg","wikidata (with ISO3)"
"Flag of Australia.svg","wikipedia (sovereign states)"
"Flag of Austria-Hungary (1869-1918).svg","wikimedia (extinct states)"
"Flag of Austria.svg","wikidata (with ISO3)"
"Flag of Austria.svg","wikipedia (sovereign states)"
"Flag of Azerbaijan.svg","wikidata (with ISO3)"
"Flag of Azerbaijan.svg","wikipedia (sovereign states)"
"Flag of Bahrain.svg","wikidata (with ISO3)"
"Flag of Bahrain.svg","wikipedia (sovereign states)"
"Flag of Bangladesh.svg","wikidata (with ISO3)"
"Flag of Bangladesh.svg","wikipedia (sovereign states)"
"Flag of Barbados.svg","wikidata (with ISO3)"
"Flag of Barbados.svg","wikipedia (sovereign states)"
"Flag of Bavaria (striped).svg","wikimedia (extinct states)"
"Flag of Belarus.svg","wikidata (with ISO3)"
"Flag of Belarus.svg","wikipedia (sovereign states)"
"Flag of Belgium (civil).svg","wikipedia (sovereign states)"
"Flag of Belgium.svg","wikidata (with ISO3)"
"Flag of Belize.svg","wikidata (with ISO3)"
"Flag of Belize.svg","wikipedia (sovereign states)"
"Flag of Benin.svg","wikidata (with ISO3)"
"Flag of Benin.svg","wikipedia (sovereign states)"
"Flag of Bermuda.svg","wikidata (with ISO3)"
"Flag of Bermuda.svg","wikipedia (dependent states)"
"Flag of Bhutan.svg","wikidata (with ISO3)"
"Flag of Bhutan.svg","wikipedia (sovereign states)"
"Flag of Biafra.svg","wikimedia (extinct states)"
"Flag of Bolivia (state).svg","wikipedia (sovereign states)"
"Flag of Bolivia.svg","wikidata (with ISO3)"
"Flag of Bonaire.svg","wikipedia (dependent states)"
"Flag of Bophuthatswana.svg","wikimedia (extinct states)"
"Flag of Bora Bora.svg","wikimedia (extinct states)"
"Flag of Bosnia and Herzegovina.svg","wikidata (with ISO3)"
"Flag of Bosnia and Herzegovina.svg","wikipedia (sovereign states)"
"Flag of Botswana.svg","wikidata (with ISO3)"
"Flag of Botswana.svg","wikipedia (sovereign states)"
"Flag of Bougainville.svg","wikimedia (extinct states)"
"Flag of Brazil.svg","wikidata (with ISO3)"
"Flag of Brazil.svg","wikipedia (sovereign states)"
"Flag of Brunei.svg","wikidata (with ISO3)"
"Flag of Brunei.svg","wikipedia (sovereign states)"
"Flag of Bulgaria.svg","wikidata (with ISO3)"
"Flag of Bulgaria.svg","wikipedia (sovereign states)"
"Flag of Burkina Faso.svg","wikidata (with ISO3)"
"Flag of Burkina Faso.svg","wikipedia (sovereign states)"
"Flag of Burundi.svg","wikidata (with ISO3)"
"Flag of Burundi.svg","wikipedia (sovereign states)"
"Flag of Byelorussian SSR.svg","wikimedia (extinct states)"
"Flag of C%C3%B4te d%27Ivoire.svg","wikipedia (sovereign states)"
"Flag of California.svg","wikimedia (extinct states)"
"Flag of Cambodia.svg","wikidata (with ISO3)"
"Flag of Cambodia.svg","wikipedia (sovereign states)"
"Flag of Cameroon.svg","wikidata (with ISO3)"
"Flag of Cameroon.svg","wikipedia (sovereign states)"
"Flag of Canada.svg","wikidata (with ISO3)"
