-,"AFRICA (Region I)",Congo
+,"AFRICA (Region I)","Congo, Republic of the"
-,"AFRICA (Region I)",Ethiopia
+,"AFRICA (Region I)","Etiopía"
+,"AFRICA (Region I)",Libya
-,"AFRICA (Region I)","Libyan Arab Jamahiriya"
+,"AFRICA (Region I)","South Sudan"
-,"EUROPE (Region VI)","Macedonia, The former Yugoslav Republic of"
+,"EUROPE (Region VI)",Moldova
-,"EUROPE (Region VI)","Republic of Moldova"
+,"EUROPE (Region VI)","The former Yugoslav Republic of Macedonia"
-,"SOUTH AMERICA (Region III)",Venezuela
+,"SOUTH AMERICA (Region III)","Venezuela, Bolivarian"
