-,2011,"South Sudan"
+,2011,"South ‎Sudan"
-,2000,"Federal Republic of Yugoslavia"
+,2000,Serbia
-,1991,"Federated States of Micronesia"
+,1991,"Micronesia (Federated States of)"
-,1983,"Saint Christopher and Nevis"
+,1983,"Saint Kitts and Nevis"
+,1975,"Cabo Verde"
-,1975,"Cape Verde"
+,1974,"Guinea Bissau"
-,1974,Guinea-Bissau
-,1973,"Federal Republic of Germany"
-,1973,"German Democratic Republic"
+,1973,Germany
-,1967,Yemen
+,1965,Gambia
-,1965,"Maldive Islands"
+,1965,Maldives
-,1965,"The Gambia"
-,1963,Zanzibar
-,1961,Tanganyika
+,1961,"United Republic of Tanzania"
+,1960,Benin
+,1960,"Burkina Faso"
+,1960,Cameroon
-,1960,Cameroun
+,1960,Congo
-,1960,"Congo (Brazzaville)"
-,1960,"Congo (Leopoldville)"
+,1960,"Côte D'Ivoire"
-,1960,Dahomey
+,1960,"Democratic Republic of the Congo"
-,1960,"Ivory Coast"
+,1960,Madagascar
-,1960,"Malagasy Republic"
-,1960,"Upper Volta"
-,1957,"Federation of Malaya"
+,1957,Malaysia
-,1955,Ceylon
+,1955,"Lao People’s Democratic Republic"
-,1955,Laos
+,1955,"Sri Lanka"
-,1948,Burma
+,1948,Myanmar
-,1946,Siam
+,1946,Thailand
+,1945,Belarus
-,1945,Bolivia
+,1945,"Bolivia (Plurinational State of)"
-,1945,"Byelorussian Soviet Socialist Republic"
-,1945,Czechoslovakia
-,1945,Iran
+,1945,"Iran (Islamic Republic of)"
-,1945,"Philippine Republic"
+,1945,Philippines
+,1945,"Russian Federation"
+,1945,"South Africa"
-,1945,Syria
+,1945,"Syrian Arab Republic"
+,1945,Ukraine
-,1945,"Ukrainian Soviet Socialist Republic"
-,1945,"Union of South Africa"
-,1945,"Union of Soviet Socialist Republics"
-,1945,"United Kingdom"
+,1945,"United Kingdom of Great Britain and Northern Ireland"
-,1945,"United States"
+,1945,"United States of America"
-,1945,Venezuela
+,1945,"Venezuela (Bolivarian Republic of)"
-,1945,Yugoslavia
