-,001,World
-,002,Africa
-,003,"North America"
-,005,"South America"
-,009,Oceania
-,011,"Western Africa"
-,013,"Central America"
-,014,"Eastern Africa"
-,015,"Northern Africa"
-,017,"Middle Africa"
-,018,"Southern Africa"
-,019,Americas
-,021,"Northern America"
-,029,Caribbean
-,030,"Eastern Asia"
-,034,"Southern Asia"
-,035,"Southeast Asia"
-,039,"Southern Europe"
-,053,Australasia
-,054,Melanesia
-,057,"Micronesian Region"
-,061,Polynesia
-,142,Asia
-,143,"Central Asia"
-,145,"Western Asia"
-,150,Europe
-,151,"Eastern Europe"
-,154,"Northern Europe"
-,155,"Western Europe"
-,419,"Latin America"
-,AC,"Ascension Island"
-,AN,"Netherlands Antilles"
-,AQ,Antarctica
-,BV,"Bouvet Island"
-,CP,"Clipperton Island"
-,EU,"European Union"
-,GS,"South Georgia & South Sandwich Islands"
-,HM,"Heard & McDonald Islands"
-,QO,"Outlying Oceania"
-,TA,"Tristan da Cunha"
-,TF,"French Southern Territories"
-,VA,"Vatican City"
-,ZZ,"Unknown Region"
