AFI,"French Afars and Issas"
ANT,"Netherlands Antilles"
ATB,"British Antarctic Territory"
ATF,"French Southern and Antarctic Territories"
ATN,"Dronning Maud Land"
BUR,"Burma, Socialist Republic of the Union of"
BYS,"Byelorussian SSR Soviet Socialist Republic"
CSK,"Czechoslovakia, Czechoslovak Socialist Republic"
CTE,"Canton and Enderbury Islands"
DDR,"German Democratic Republic"
DEU,"Germany, Federal Republic of"
DHY,Dahomey
ESH,"Spanish Sahara"
ETH,Ethiopia
FXX,"France, Metropolitan"
GEL,"Gilbert and Ellice Islands"
HVO,"Upper Volta, Republic of"
JTN,"Johnston Island"
KNA,"St. Kitts-Nevis-Anguilla"
MID,"Midway Islands"
NHB,"New Hebrides"
NTZ,"Neutral Zone"
PAN,"Panama, Republic of"
PCI,"Pacific Islands (trust territory)"
PCZ,"Panama Canal Zone"
PUS,"US Miscellaneous Pacific Islands"
RHO,"Southern Rhodesia"
ROM,"Romania, Socialist Republic of"
SCG,"Serbia and Montenegro"
SKM,Sikkim
SUN,"USSR, Union of Soviet Socialist Republics"
TMP,"East Timor"
VAT,"Vatican City State (Holy See)"
VDR,"Viet-Nam, Democratic Republic of"
WAK,"Wake Island"
YEM,"Yemen, Yemen Arab Republic"
YMD,"Yemen, Democratic, People's Democratic Republic of"
YUG,"Yugoslavia, Socialist Federal Republic of"
ZAR,"Zaire, Republic of"
