ABW,ABW
AFG,AFG
AGO,AGO
AIA,GBR
ALA,FIN
ALB,ALB
AND,AND
ARE,ARE
ARG,ARG
ARM,ARM
ASM,USA
ATA,ATA
ATF,FRA
ATG,ATG
AUS,AUS
AUT,AUT
AZE,AZE
BDI,BDI
BEL,BEL
BEN,BEN
BES,NLD
BFA,BFA
BGD,BGD
BGR,BGR
BHR,BHR
BHS,BHS
BIH,BIH
BLM,FRA
BLR,BLR
BLZ,BLZ
BMU,GBR
BOL,BOL
BRA,BRA
BRB,BRB
BRN,BRN
BTN,BTN
BVT,NOR
BWA,BWA
CAF,CAF
CAN,CAN
CCK,AUS
CHE,CHE
CHL,CHL
CHN,CHN
CIV,CIV
CMR,CMR
COD,COD
COG,COG
COK,NZL
COL,COL
COM,COM
CPV,CPV
CRI,CRI
CUB,CUB
CUW,CUW
CXR,AUS
CYM,GBR
CYP,CYP
CZE,CZE
DEU,DEU
DJI,DJI
DMA,DMA
DNK,DNK
DOM,DOM
DZA,DZA
ECU,ECU
EGY,EGY
ERI,ERI
ESH,ESH
ESP,ESP
EST,EST
ETH,ETH
FIN,FIN
FJI,FJI
FLK,GBR
FRA,FRA
FRO,FRO
FSM,FSM
GAB,GAB
GBR,GBR
GEO,GEO
GGY,GGY
GHA,GHA
GIB,GBR
GIN,GIN
GLP,FRA
GMB,GMB
GNB,GNB
GNQ,GNQ
GRC,GRC
GRD,GRD
GRL,GRL
GTM,GTM
GUF,FRA
GUM,USA
GUY,GUY
HKG,CHN
HMD,AUS
HND,HND
HRV,HRV
HTI,HTI
HUN,HUN
IDN,IDN
IMN,IMN
IND,IND
IOT,GBR
IRL,IRL
IRN,IRN
IRQ,IRQ
ISL,ISL
ISR,ISR
ITA,ITA
JAM,JAM
JEY,GBR
JOR,JOR
JPN,JPN
KAZ,KAZ
KEN,KEN
KGZ,KGZ
KHM,KHM
KIR,KIR
KNA,KNA
KOR,KOR
KWT,KWT
LAO,LAO
LBN,LBN
LBR,LBR
LBY,LBY
LCA,LCA
LIE,LIE
LKA,LKA
LSO,LSO
LTU,LTU
LUX,LUX
LVA,LVA
MAC,CHN
MAF,FRA
MAR,MAR
MCO,MCO
MDA,MDA
MDG,MDG
MDV,MDV
MEX,MEX
MHL,MHL
MKD,MKD
MLI,MLI
MLT,MLT
MMR,MMR
MNE,MNE
MNG,MNG
MNP,USA
MOZ,MOZ
MRT,MRT
MSR,GBR
MTQ,FRA
MUS,MUS
MWI,MWI
MYS,MYS
MYT,FRA
NAM,NAM
NCL,FRA
NER,NER
NFK,AUS
NGA,NGA
NIC,NIC
NIU,NIU
NLD,NLD
NOR,NOR
NPL,NPL
NRU,NRU
NZL,NZL
OMN,OMN
PAK,PAK
PAN,PAN
PCN,GBR
PER,PER
PHL,PHL
PLW,PLW
PNG,PNG
POL,POL
PRI,USA
PRK,PRK
PRT,PRT
PRY,PRY
PSE,PSE
PYF,FRA
QAT,QAT
REU,FRA
ROU,ROU
RUS,RUS
RWA,RWA
SAU,SAU
SDN,SDN
SEN,SEN
SGP,SGP
SGS,GBR
SHN,GBR
SJM,SJM
SLB,SLB
SLE,SLE
SLV,SLV
SMR,SMR
SOM,SOM
SPM,FRA
SRB,SRB
SSD,SSD
STP,STP
SUR,SUR
SVK,SVK
SVN,SVN
SWE,SWE
SWZ,SWZ
SXM,SXM
SYC,SYC
SYR,SYR
TCA,GBR
TCD,TCD
TGO,TGO
THA,THA
TJK,TJK
TKL,NZL
TKM,TKM
TLS,TLS
TON,TON
TTO,TTO
TUN,TUN
TUR,TUR
TUV,TUV
TWN,TWN
TZA,TZA
UGA,UGA
UKR,UKR
UMI,USA
URY,URY
USA,USA
UZB,UZB
VAT,VAT
VCT,VCT
VEN,VEN
VGB,GBR
VIR,USA
VNM,VNM
VUT,VUT
WLF,FRA
WSM,WSM
YEM,YEM
YUG,YUG
ZAF,ZAF
ZMB,ZMB
ZWE,ZWE
