iso3_code,common_name,state_or_territory,wmo_member_since,cpdb_url
AFG,Afghanistan,State,1956-09-11,https://www.wmo.int/cpdb/dashboard/afghanistan
ALB,Albania,State,1957-07-29,https://www.wmo.int/cpdb/dashboard/albania
DZA,Algeria,State,1963-04-04,https://www.wmo.int/cpdb/dashboard/algeria
AGO,Angola,State,1977-03-16,https://www.wmo.int/cpdb/dashboard/angola
ATG,"Antigua & Barbuda",State,1988-11-16,https://www.wmo.int/cpdb/dashboard/antigua-and-barbuda
ARG,Argentina,State,1951-01-02,https://www.wmo.int/cpdb/dashboard/argentina
ARM,Armenia,State,1992-09-16,https://www.wmo.int/cpdb/dashboard/armenia
AUS,Australia,State,1949-03-14,https://www.wmo.int/cpdb/dashboard/australia
AUT,Austria,State,1955-02-23,https://www.wmo.int/cpdb/dashboard/austria
AZE,Azerbaijan,State,1993-12-27,https://www.wmo.int/cpdb/dashboard/azerbaijan
BHS,Bahamas,State,1973-11-29,https://www.wmo.int/cpdb/dashboard/bahamas
BHR,Bahrain,State,1980-04-21,https://www.wmo.int/cpdb/dashboard/bahrain
BGD,Bangladesh,State,1973-08-24,https://www.wmo.int/cpdb/dashboard/bangladesh
BRB,Barbados,State,1967-03-22,https://www.wmo.int/cpdb/dashboard/barbados
BLR,Belarus,State,1948-04-12,https://www.wmo.int/cpdb/dashboard/belarus
BEL,Belgium,State,1951-02-02,https://www.wmo.int/cpdb/dashboard/belgium
BLZ,Belize,State,1982-05-25,https://www.wmo.int/cpdb/dashboard/belize
BEN,Benin,State,1963-04-14,https://www.wmo.int/cpdb/dashboard/benin
BTN,Bhutan,State,2003-02-11,https://www.wmo.int/cpdb/dashboard/bhutan
BOL,Bolivia,State,1954-05-15,https://www.wmo.int/cpdb/dashboard/bolivia-plurinational-state-of
BIH,"Bosnia & Herzegovina",State,1994-06-01,https://www.wmo.int/cpdb/dashboard/bosnia-and-herzegovina
BWA,Botswana,State,1967-10-16,https://www.wmo.int/cpdb/dashboard/botswana
BRA,Brazil,State,1950-03-15,https://www.wmo.int/cpdb/dashboard/brazil
BCT,"British Caribbean Territories",Territory,1953-09-24,https://www.wmo.int/cpdb/dashboard/british-caribbean-territories
BRN,Brunei,State,1984-11-26,https://www.wmo.int/cpdb/dashboard/brunei-darussalam
BGR,Bulgaria,State,1952-03-12,https://www.wmo.int/cpdb/dashboard/bulgaria
BFA,"Burkina Faso",State,1960-10-31,https://www.wmo.int/cpdb/dashboard/burkina-faso
BDI,Burundi,State,1962-10-30,https://www.wmo.int/cpdb/dashboard/burundi
KHM,Cambodia,State,1955-11-08,https://www.wmo.int/cpdb/dashboard/cambodia
CMR,Cameroon,State,1960-12-17,https://www.wmo.int/cpdb/dashboard/cameroon
CAN,Canada,State,1950-07-28,https://www.wmo.int/cpdb/dashboard/canada
CPV,"Cape Verde",State,1975-10-21,https://www.wmo.int/cpdb/dashboard/cabo-verde
CAF,"Central African Republic",State,1961-06-28,https://www.wmo.int/cpdb/dashboard/central-african-republic
TCD,Chad,State,1961-02-02,https://www.wmo.int/cpdb/dashboard/chad
CHL,Chile,State,1957-05-09,https://www.wmo.int/cpdb/dashboard/chile
CHN,China,State,1951-04-01,https://www.wmo.int/cpdb/dashboard/china
