table_type,table_name
table,debian_2014_iso_codes
table,ipcc_2009_ipcc_countries
table,ipcc_2012_ipcc_members
table,unicode_2014_code_mappings
table,unicode_2014_scripts_languages_territories
table,unicode_2014_territories
table,un_2015_members
table,un_2015_members_growth
table,wmo_2014_wmo_composition
table,wmo_2015_country_matcher
table,wmo_2015_members_territories
view,debian_country_names
view,debian_former_country_names
view,ipcc_country_names
view,un_country_names
view,unicode_country_names
view,wmo_country_names
view,current_ipcc_members
view,eligible_ipcc_members
