Entity,Group,Value Name,Value Type,Value Position,Value,Rank,Start Time,End Time
Q126125,alias,language,zh,1,法属圣马丁,,,
Q126125,alias,language,eu,1,Saint-Martin,,,
Q126125,alias,language,pl,1,Saint Martin,,,
Q126125,alias,language,bs,1,Sveti Martin,,,
Q126125,alias,language,es,1,Collectivite de Saint-Martin,,,
Q126125,alias,language,es,2,Collectivité de Saint-Martin,,,
Q126125,alias,language,es,3,Colectividad de San Martín,,,
Q126125,alias,language,es,4,Collectivite de Saint Martin,,,
Q126125,alias,language,es,5,Colectividad de San Martin,,,
Q126125,alias,language,es,6,San Martin,,,
Q126125,alias,language,es,7,Collectivité de Saint Martin,,,
Q126125,alias,language,es,8,Saint-Martin,,,
Q126125,alias,language,af,1,Saint Martin,,,
Q126125,alias,language,oc,1,Sant Martin,,,
Q126125,alias,language,et,1,Saint-Martini territoriaalühendus,,,
Q126125,alias,language,el,1,Άγιος Μαρτίνος Γαλλίας,,,
Q126125,alias,language,nl,1,Saint-Martin,,,
Q126125,alias,language,ar,1,سان مارتن الفرنسية,,,
Q126125,alias,language,ar,2,سان مارتين,,,
Q126125,alias,language,ar,3,سان مارتن الفرنسيه,,,
Q126125,alias,language,pt,1,Saint Martin,,,
Q126125,alias,language,pt,2,Saint-Martin,,,
Q126125,alias,language,pt,3,Coletividade de São Martinho,,,
Q126125,alias,language,pt,4,St. Martin,,,
Q126125,alias,language,eo,1,Saint Martin,,,
Q126125,alias,language,su,1,Koléktivitas Saint Martin,,,
Q126125,alias,language,su,2,Saint Martin,,,
Q126125,alias,language,uk,1,Сен-Мартін,,,
Q126125,alias,language,az,1,Sen-Martin,,,
Q126125,alias,language,ko,1,생마르텡,,,
Q126125,alias,language,ko,2,생 마르탱,,,
Q126125,alias,language,fr,1,Grand Case,,,
Q126125,alias,language,fr,2,TFFG,,,
Q126125,alias,language,yo,1,Saint Martin,,,
Q126125,alias,language,yo,2,Collectivity of Saint Martin,,,
Q126125,alias,language,lv,1,MAF,,,
Q126125,alias,language,lv,2,SMT,,,
Q126125,alias,language,it,1,Collettività di Saint-Martin,,,
Q126125,alias,language,it,2,Saint Martin,,,
Q126125,alias,language,id,1,Collectivité de Saint-Martin,,,
Q126125,alias,language,id,2,Collectivity of Saint Martin,,,
Q126125,alias,language,vi,1,Saint Martin thuộc Pháp,,,
Q126125,alias,language,vi,2,Saint Martin,,,
Q126125,alias,language,sh,1,Sveti Martin,,,
Q126125,alias,language,sh,2,Saint Martin (francuska teritorija,,,
Q126125,alias,language,en,1,Saint Martin (France),,,
Q126125,alias,language,en,2,Collectivity of Saint Martin,,,
Q126125,alias,language,en,3,mf,,,
Q126125,alias,language,en,4,St. Martin,,,
Q126125,alias,language,en,5,St Martin,,,
Q126125,alias,language,en,6,St. Martin (French part),,,
Q126125,alias,language,ca,1,Col·lectivitat de Saint-Martin,,,
Q126125,alias,language,cs,1,Saint-Martin,,,
Q126125,alias,language,fa,1,سنت مارتين فرانسه,,,
Q126125,alias,language,ur,1,Saint Martin,,,
Q126125,alias,language,ur,2,The Collectivity of Saint Martin,,,
Q126125,alias,language,ru,1,Заморское сообщество Сен-Мартен,,,
,,,,,,,,
Q126125,description,language,en,,"commune in Saint-Martin, France",,,
Q126125,description,language,be,,уладанне Францыі,,,
Q126125,description,language,nb,,fransk oversjøisk kollektiv i Karibia,,,
Q126125,description,language,nl,,Franse Antillen,,,
Q126125,description,language,he,,קולקטיב מעבר לים של צרפת,,,
Q126125,description,language,fr,,île des Petites Antilles,,,
Q126125,description,language,es,,"colectividad de ultramar francesa, en la isla de San Martín",,,
,,,,,,,,
Q126125,label,language,zh-hans,,法属圣马丁,,,
Q126125,label,language,zh-hant,,法屬聖馬丁,,,
Q126125,label,language,zh-hk,,法屬聖馬丁,,,
Q126125,label,language,zh-cn,,法属圣马丁,,,
Q126125,label,language,zh-sg,,法属圣马丁,,,
Q126125,label,language,zh-tw,,法屬聖馬丁,,,
Q126125,label,language,eu,,Saint Martin,,,
Q126125,label,language,pl,,Saint-Martin,,,
Q126125,label,language,bs,,Saint Martin,,,
Q126125,label,language,es,,San Martín,,,
Q126125,label,language,af,,Saint-Martin,,,
Q126125,label,language,oc,,Collectivitat de Sant Martin,,,
Q126125,label,language,hu,,Saint-Martin,,,
Q126125,label,language,et,,Saint-Martin,,,
Q126125,label,language,br,,Saint-Martin,,,
Q126125,label,language,el,,Άγιος Μαρτίνος,,,
Q126125,label,language,pnb,,سنٹ مارٹن,,,
Q126125,label,language,nl,,Sint-Maarten,,,
Q126125,label,language,ar,,سانت مارتن الفرنسية,,,
Q126125,label,language,pt,,São Martinho,,,
Q126125,label,language,eo,,Saint-Martin,,,
Q126125,label,language,su,,Saint-Martin,,,
Q126125,label,language,ru,,Сен-Мартен,,,
Q126125,label,language,tr,,Saint Martin,,,
Q126125,label,language,mk,,Свети Мартин,,,
Q126125,label,language,fi,,Saint-Martin,,,
Q126125,label,language,uk,,Сен-Мартен,,,
Q126125,label,language,be-tarask,,Сэн-Мартэн,,,
Q126125,label,language,nn,,Saint-Martin,,,
Q126125,label,language,az,,Sent Martin,,,
Q126125,label,language,lmo,,Saint-Martin,,,
Q126125,label,language,tl,,San Martin,,,
Q126125,label,language,da,,Saint-Martin,,,
Q126125,label,language,an,,Saint-Martin,,,
Q126125,label,language,gsw,,D Saint-Martin Insle,,,
Q126125,label,language,pms,,Saint-Martin,,,
Q126125,label,language,ko,,생마르탱,,,
Q126125,label,language,fr,,Saint-Martin,,,
Q126125,label,language,yo,,Ìkólẹ̀jọ Saint Martin,,,
Q126125,label,language,lv,,Senmartēna,,,
Q126125,label,language,it,,Saint-Martin,,,
Q126125,label,language,li,,Sint Maarten,,,
Q126125,label,language,id,,Saint Martin,,,
Q126125,label,language,de,,Saint-Martin,,,
Q126125,label,language,ja,,サン・マルタン,,,
Q126125,label,language,vi,,Saint-Martin,,,
Q126125,label,language,en,,Saint Martin,,,
Q126125,label,language,sh,,Saint Martin,,,
Q126125,label,language,hy,,Սեն Մարտեն,,,
Q126125,label,language,ro,,Saint Martin,,,
Q126125,label,language,ca,,Saint-Martin,,,
Q126125,label,language,war,,Saint Martin,,,
Q126125,label,language,os,,Сен-Мартен,,,
Q126125,label,language,cs,,Svatý Martin,,,
Q126125,label,language,bg,,Сен Мартен,,,
Q126125,label,language,fa,,سنت مارتین فرانسه,,,
Q126125,label,language,mr,,सेंट मार्टिन,,,
Q126125,label,language,ur,,سینٹ مارٹن,,,
Q126125,label,language,ka,,სენ-მარტენი,,,
Q126125,label,language,lt,,San Martenas,,,
Q126125,label,language,be,,Сен-Мартэн,,,
Q126125,label,language,nb,,Saint-Martin,,,
Q126125,label,language,sr,,Свети Мартин,,,
Q126125,label,language,zh,,法屬聖馬丁,,,
Q126125,label,language,he,,סן מרטן,,,
Q126125,label,language,yue,,法屬聖馬丁,,,
Q126125,label,language,sv,,Saint Martin,,,
Q126125,label,language,gl,,Saint-Martin,,,
Q126125,label,language,is,,Saint-Martin,,,
Q126125,label,language,sw,,Saint Martin,,,
Q126125,label,language,fy,,Sint-Marten,,,
Q126125,label,language,gag,,Sent Martin,,,
Q126125,label,language,ne,,सेन्ट मार्टिन,,,
,,,,,,,,
Q126125,claim,P1036,string,1,2--7297,deprecated,,
Q126125,claim,P17,wikibase-item,1,142,normal,,
Q126125,claim,P31,wikibase-item,1,719487,normal,,
Q126125,claim,P297,string,1,MF,normal,,
Q126125,claim,P298,string,1,MAF,normal,,
Q126125,claim,P299,string,1,663,normal,,
Q126125,claim,P300,string,1,FR-MF,normal,,
Q126125,claim,P373,string,1,Saint Martin (France),normal,,
Q126125,claim,P41,commonsMedia,1,Flag of France.svg,normal,,
Q126125,claim,P242,commonsMedia,1,Saint Martin in its region.svg,normal,,
Q126125,claim,P242,commonsMedia,2,Saint Martin-CIA WFB Map.png,normal,,
Q126125,claim,P36,wikibase-item,1,200605,normal,,
Q126125,claim,P30,wikibase-item,1,49,normal,,
Q126125,claim,P78,wikibase-item,1,160295,normal,,
Q126125,claim,P625,latitude,1,18.075277777778,normal,,
Q126125,claim,P625,longitude,1,-63.06,normal,,
Q126125,claim,P706,wikibase-item,1,664609,normal,,
Q126125,claim,P85,wikibase-item,1,41180,normal,,
Q126125,claim,P610,wikibase-item,1,5919800,normal,,
Q126125,claim,P47,wikibase-item,1,26273,normal,,
Q126125,claim,P163,wikibase-item,1,1064696,normal,,
Q126125,claim,P237,wikibase-item,1,1511666,normal,,
Q126125,claim,P38,wikibase-item,1,4916,normal,,
Q126125,claim,P474,string,1,+590,normal,,
Q126125,claim,P910,wikibase-item,1,8858682,normal,,
Q126125,claim,P646,string,1,/m/02phy_9,normal,,
Q126125,claim,P901,string,1,RN,normal,,
Q126125,claim,P982,string,1,cf9b9b79-1ebc-3b62-9e86-7cf03fb7d548,normal,,
Q126125,claim,P1151,wikibase-item,1,15643952,normal,,
Q126125,claim,P1566,string,1,3578421,normal,,
Q126125,claim,P131,wikibase-item,1,142,normal,,
Q126125,claim,P1464,wikibase-item,1,13336122,normal,,
Q126125,claim,P1465,wikibase-item,1,17477257,normal,,
Q126125,claim,P948,commonsMedia,1,Saint Martin-banner.jpg,normal,,
,,,,,,,,
Q126125,sitelink,site,afwiki,,Saint-Martin,,,
Q126125,sitelink,site,alswiki,,Saint-Martin (Insel),,,
Q126125,sitelink,site,anwiki,,Saint-Martin,,,
Q126125,sitelink,site,arwiki,,تجمع سان مارتين,,,
Q126125,sitelink,site,azwiki,,Sen-Marten,,,
Q126125,sitelink,site,be_x_oldwiki,,Сэн-Мартэн,,,
Q126125,sitelink,site,bewiki,,"Сен-Мартэн, Францыя",,,
