Entity,Group,Value Name,Value Type,Value,Rank,Start Time,End Time
Q36704,alias,language,zh,前南斯拉夫,,,
Q36704,alias,language,jv,Républik Rakyat Federal Yugoslavia,,,
Q36704,alias,language,qu,Yugoslavia,,,
Q36704,alias,language,qu,Jugoslavija,,,
Q36704,alias,language,ta,யூகொஸ்லாவியா,,,
Q36704,alias,language,ta,யூகோஸ்லாவியா,,,
Q36704,alias,language,ta,யூகோசிலாவியா,,,
Q36704,alias,language,ta,யுகோசிலாவியா,,,
Q36704,alias,language,af,Joegoeslawië,,,
Q36704,alias,language,af,Joegoslawië,,,
Q36704,alias,language,af,Joegoslawie,,,
Q36704,alias,language,af,Jugoslawië,,,
Q36704,alias,language,af,Joegoslavië,,,
Q36704,alias,language,hu,Jugoszláv Szövetségi Népköztársaság,,,
Q36704,alias,language,hu,Jugoslavija,,,
Q36704,alias,language,hu,SFRJ,,,
Q36704,alias,language,hu,Jugoszláv Szocialista Szövetségi Köztársaság,,,
Q36704,alias,language,hu,Jugoszláv Szövetségi Köztársaság,,,
Q36704,alias,language,sw,Socialist Federal Republic of Yugoslavia,,,
Q36704,alias,language,br,Republik Kevreadel Sokialour Yougoslavia,,,
Q36704,alias,language,rw,Yugoslaviya,,,
Q36704,alias,language,sv,Socialistiska Förbundsrepubliken Jugoslavien,,,
Q36704,alias,language,sv,Forna Jugoslavien,,,
Q36704,alias,language,sv,"Serbernas, kroaternas och slovenernas kungadöme",,,
Q36704,alias,language,sv,(f.d.) Jugoslavien,,,
Q36704,alias,language,sv,Jugoslavisk,,,
Q36704,alias,language,nl,Federatieve Republiek Joegoslavië,,,
Q36704,alias,language,nl,Yougoslavie,,,
Q36704,alias,language,nl,Federatieve Republiek Joegoslavie,,,
Q36704,alias,language,nl,Federatieve Republiek van Joegoslavië,,,
Q36704,alias,language,nl,Federatieve Republiek van Joegoslavie,,,
Q36704,alias,language,nl,Yougoslavië,,,
Q36704,alias,language,nl,Ex-Joegoslavië,,,
Q36704,alias,language,nl,Joegoeslavie,,,
Q36704,alias,language,nl,Joegoeslavië,,,
Q36704,alias,language,nl,Voormalig Joegoslavie,,,
Q36704,alias,language,nl,Ex-Joegoslavie,,,
Q36704,alias,language,nl,Joegoslavie,,,
Q36704,alias,language,nl,Voormalig Joegoslavië,,,
Q36704,alias,language,ar,يوغسلافية,,,
Q36704,alias,language,ar,يوغسلافيا,,,
Q36704,alias,language,ar,اليوغوسلافي,,,
Q36704,alias,language,ar,الاتحاد اليوغسلافي,,,
Q36704,alias,language,ar,يوجوسلافيا,,,
Q36704,alias,language,ar,الإتحاد اليوغوسلافي,,,
Q36704,alias,language,ar,الاتحاد اليوغوسلافي,,,
Q36704,alias,language,pt,Jugoslavo,,,
Q36704,alias,language,pt,República federal socialista da jugoslávia,,,
Q36704,alias,language,pt,Iugoslavo,,,
Q36704,alias,language,pt,Yugoslavia,,,
Q36704,alias,language,pt,Iugoslavia,,,
Q36704,alias,language,pt,Yugoslávia,,,
Q36704,alias,language,pt,Yuguslavia,,,
Q36704,alias,language,pt,Iugoslávia,,,
Q36704,alias,language,pt,Iuguslavia,,,
Q36704,alias,language,eo,Sociala Federacia Respubliko de Jugoslavio,,,
Q36704,alias,language,eo,Jugoslavujo,,,
Q36704,alias,language,yi,יוגאָסלאַוויע,,,
Q36704,alias,language,yi,יאגאסלאוויע,,,
Q36704,alias,language,ast,República Federal de Yugoslavia,,,
Q36704,alias,language,fi,Jugoslavian liittovaltio,,,
Q36704,alias,language,fi,Yugoslavia,,,
Q36704,alias,language,uk,Югославія Союзна Республіка,,,
Q36704,alias,language,uk,Демократична Федеративна Югославія,,,
Q36704,alias,language,uk,Юґославія,,,
Q36704,alias,language,hr,Tamnica naroda,,,
Q36704,alias,language,az,Yuqoslaviya Sosialist Federativ Respublikası,,,
Q36704,alias,language,az,Yuqoslaviya Federativ Respublikası,,,
Q36704,alias,language,tl,Nagkaisang Estado ng Serbya at Montenegro,,,
Q36704,alias,language,tl,Estadong Pinag-isa ng Serbya at Montenegro,,,
Q36704,alias,language,tl,Jugoslavija,,,
Q36704,alias,language,tl,Yugoslaba,,,
Q36704,alias,language,tl,Pederal na Republika ng Yugoslabya,,,
Q36704,alias,language,tl,Yugoslabiya,,,
Q36704,alias,language,tl,Yugoslavia,,,
Q36704,alias,language,tl,Unyon ng Serbya at Montenegro,,,
Q36704,alias,language,tl,Estadong Nagkakaisa ng Serbya at Montenegro,,,
Q36704,alias,language,tl,"Kaharian ng mga Serbo, Kroato, at Islobeno",,,
Q36704,alias,language,tl,Estadong Nagkaisa ng Serbya at Montenegro,,,
Q36704,alias,language,tl,Estadong Unyon ng Serbya at Montenegro,,,
Q36704,alias,language,tl,Unyong Estado ng Serbya at Montenegro,,,
Q36704,alias,language,tl,Yugoslabo,,,
Q36704,alias,language,tl,Pinag-isang Estado ng Serbya at Montenegro,,,
Q36704,alias,language,tl,Nagkakaisang Estado ng Serbya at Montenegro,,,
Q36704,alias,language,tl,Yugoslav,,,
Q36704,alias,language,tl,Estado ng Serbya at Montenegro,,,
Q36704,alias,language,tl,Yugoslabia,,,
Q36704,alias,language,tl,Sosyalistang Yugoslabya,,,
Q36704,alias,language,tl,Kaharian ng Yugoslabya,,,
Q36704,alias,language,da,Den socialistiske føderale republik Jugoslavien,,,
Q36704,alias,language,da,"Kongeriget af Serber, Kroater og Slovener",,,
Q36704,alias,language,da,FNRJ,,,
Q36704,alias,language,da,Den Socialistiske Føderative Republik Jugoslavien,,,
Q36704,alias,language,da,(fhv.) Jugoslavien,,,
Q36704,alias,language,da,Den Føderative Folkerepublik Jugoslavien,,,
Q36704,alias,language,da,SFRJ,,,
Q36704,alias,language,be,СРЮ,,,
Q36704,alias,language,be,Саюзная Рэспубліка Югаславія,,,
Q36704,alias,language,he,יוגוסלאביה,,,
Q36704,alias,language,he,יגוסלביה,,,
Q36704,alias,language,he,היסטוריה של יוגוסלביה,,,
Q36704,alias,language,ko,유고슬라비야,,,
Q36704,alias,language,fr,Histoire de la Yougoslavie,,,
Q36704,alias,language,fr,Yougo,,,
Q36704,alias,language,fr,Ex-Yougoslavie,,,
Q36704,alias,language,fr,Yugoslavia,,,
Q36704,alias,language,bar,Juchuslowien,,,
Q36704,alias,language,bar,Ex-Jugoslawien,,,
Q36704,alias,language,lv,Dienvidslāvijas Federatīvā republika,,,
Q36704,alias,language,it,Jugoslavo,,,
Q36704,alias,language,it,Yugoslavia,,,
Q36704,alias,language,it,Iugoslavo,,,
Q36704,alias,language,it,Iugoslavia,,,
Q36704,alias,language,it,Jugoslavi,,,
Q36704,alias,language,it,Iugoslavi,,,
Q36704,alias,language,it,Jugoslava,,,
Q36704,alias,language,gl,Iugoslavia - Југославија,,,
Q36704,alias,language,de,Jugoslavija,,,
Q36704,alias,language,de,Yugoslavien,,,
Q36704,alias,language,de,Југославија,,,
Q36704,alias,language,de,SHS-Königreich,,,
Q36704,alias,language,de,Südslawien,,,
Q36704,alias,language,de,Jugoszlávia,,,
Q36704,alias,language,de,Jugosllavia,,,
Q36704,alias,language,de,Ex-Jugoslawien,,,
Q36704,alias,language,de,Yugoslawien,,,
Q36704,alias,language,ja,セルビア・クロアチア・スロベニア王国,,,
Q36704,alias,language,ja,ユーゴスラビア改名,,,
Q36704,alias,language,ja,ユーゴスラヴィア,,,
Q36704,alias,language,ja,セルブ・クロアート・スロヴェーヌ王国,,,
Q36704,alias,language,ml,Socialist Federal Republic of Yugoslavia,,,
Q36704,alias,language,ml,യൂഗോസ്ലാവിയ,,,
Q36704,alias,language,ml,യൂഗോസ്ലാവ്യ,,,
Q36704,alias,language,ml,Yugoslavia,,,
Q36704,alias,language,vi,Liên bang Nam Tư,,,
Q36704,alias,language,vi,Yugoslavia,,,
Q36704,alias,language,vi,Nam-tư,,,
Q36704,alias,language,sh,Југославија,,,
Q36704,alias,language,scn,Juguslavia,,,
Q36704,alias,language,scn,Yugoslavia,,,
Q36704,alias,language,hsb,Južnosłowjanska,,,
Q36704,alias,language,ku,Yugoslavya,,,
Q36704,alias,language,ku,Yûgoslaviya,,,
Q36704,alias,language,sk,SFRJ,,,
Q36704,alias,language,hy,Յուգոսլավիա,,,
Q36704,alias,language,th,สาธารณรัฐประชาธิปไตยยูโกสลาเวีย,,,
Q36704,alias,language,th,สหพันธ์สาธารณรัฐประชาชนยูโกสลาเวีย,,,
Q36704,alias,language,th,สหพันธ์สาธารณรัฐสังคมนิยมยูโกสลาเวีย,,,
Q36704,alias,language,th,ประเทศยูโกสลาเวีย,,,
Q36704,alias,language,th,สหพันธ์สาธารณรัฐยูโกสลาเวีย,,,
Q36704,alias,language,ro,Yugoslavia,,,
Q36704,alias,language,ro,Iugoslaviei,,,
Q36704,alias,language,la,Austroslavia,,,
Q36704,alias,language,fo,Yugoslavia,,,
Q36704,alias,language,cy,Jugoslavia,,,
Q36704,alias,language,cy,Yugoslavia,,,
Q36704,alias,language,cy,Gweriniaeth Ffederal Sosialaidd Iwgoslafia,,,
Q36704,alias,language,sl,Federativna republika Jugoslavija,,,
Q36704,alias,language,sl,Yugoslavia,,,
Q36704,alias,language,sl,Slovenska nararodna podporna jednota,,,
Q36704,alias,language,cs,Bývalá Jugoslávie,,,
Q36704,alias,language,fa,یوگوسلاوی,,,
Q36704,alias,language,mr,युगोस्लाविया फुटबॉल संघ,,,
Q36704,alias,language,bg,Югославя,,,
Q36704,alias,language,nb,Tidligere Jugoslavia,,,
Q36704,alias,language,nb,Yugoslavia,,,
Q36704,alias,language,nb,Den sosialistiske forbundsrepublikken Jugoslavia,,,
Q36704,alias,language,nb,Jugoslavien,,,
Q36704,alias,language,nb,Jugoslaviske,,,
Q36704,alias,language,hi,युगोस्लाविया,,,
Q36704,alias,language,vec,Repùblica Sociałista Federal de Jugoslavia,,,
Q36704,alias,language,vec,Repubblica Socialista Federale di Jugoslavia,,,
Q36704,alias,language,vec,Jugoslàvia,,,
Q36704,alias,language,vec,Republica sociałista federałe de Jugoslavia,,,
Q36704,alias,language,vec,Yugoslavia,,,
,,,,,,,
Q36704,description,language,nb,tidligere land i Sør-Europa,,,
Q36704,description,language,de,Bezeichnung mehrerer ehemaliger Staaten in Südosteuropa,,,
Q36704,description,language,en,former country in Southeast Europe,,,
Q36704,description,language,fr,ancien pays d'Europe du Sud-Est,,,
Q36704,description,language,en-gb,former country in Southeast Europe,,,
Q36704,description,language,es,antiguo estado europeo,,,
