line 21 column 1 - Warning: inserting implicit <body>
line 21 column 11 - Warning: <link> isn't allowed in <noscript> elements
line 21 column 1 - Info: <noscript> previously mentioned
line 22 column 1 - Warning: <style> isn't allowed in <body> elements
line 21 column 1 - Info: <body> previously mentioned
line 34 column 1 - Warning: <link> isn't allowed in <body> elements
line 21 column 1 - Info: <body> previously mentioned
line 36 column 1 - Warning: </head> isn't allowed in <body> elements
line 21 column 1 - Info: <body> previously mentioned
line 37 column 1 - Warning: discarding unexpected <body>
line 2 column 1 - Warning: <html> proprietary attribute "class"
line 4 column 1 - Warning: <meta> proprietary attribute "charset"
line 4 column 1 - Warning: <meta> lacks "content" attribute
line 18 column 1 - Warning: <link> inserting "type" attribute
line 20 column 1 - Warning: <link> inserting "type" attribute
line 21 column 11 - Warning: <link> inserting "type" attribute
line 22 column 1 - Warning: <style> inserting "type" attribute
line 24 column 1 - Warning: <script> inserting "type" attribute
line 25 column 1 - Warning: <script> inserting "type" attribute
line 27 column 11 - Warning: <script> inserting "type" attribute
line 31 column 1 - Warning: <script> inserting "type" attribute
line 40 column 17 - Warning: <div> proprietary attribute "role"
line 43 column 100 - Warning: <script> inserting "type" attribute
line 72 column 1 - Warning: <table> lacks "summary" attribute
line 75 column 1 - Warning: <table> lacks "summary" attribute
line 77 column 145 - Warning: <img> proprietary attribute "srcset"
line 77 column 145 - Warning: <img> proprietary attribute "data-file-width"
line 77 column 145 - Warning: <img> proprietary attribute "data-file-height"
line 85 column 1 - Warning: <table> lacks "summary" attribute
line 87 column 139 - Warning: <img> proprietary attribute "srcset"
line 87 column 139 - Warning: <img> proprietary attribute "data-file-width"
line 87 column 139 - Warning: <img> proprietary attribute "data-file-height"
line 95 column 1 - Warning: <table> lacks "summary" attribute
line 97 column 143 - Warning: <img> proprietary attribute "srcset"
line 97 column 143 - Warning: <img> proprietary attribute "data-file-width"
line 97 column 143 - Warning: <img> proprietary attribute "data-file-height"
line 105 column 1 - Warning: <table> lacks "summary" attribute
line 107 column 178 - Warning: <img> proprietary attribute "srcset"
line 107 column 178 - Warning: <img> proprietary attribute "data-file-width"
line 107 column 178 - Warning: <img> proprietary attribute "data-file-height"
line 117 column 1 - Warning: <table> lacks "summary" attribute
line 119 column 180 - Warning: <img> proprietary attribute "srcset"
line 119 column 180 - Warning: <img> proprietary attribute "data-file-width"
