Country Name To Identify,Matching Country Name,ISO Country Code,Matching Method
Afghanistan,Afghanistan,AFG,map-vcp-wmocc
Albania,Albania,ALB,map-vcp-wmocc
Algeria,Algeria,DZA,map-vcp-wmocc
Angola,Angola,AGO,map-vcp-wmocc
Antigua and Barbuda,Antigua and Barbuda,ATG,map-vcp-wmocc
Argentina,Argentina,ARG,map-vcp-wmocc
Armenia,Armenia,ARM,map-vcp-wmocc
Australia,Australia,AUS,map-vcp-wmocc
Austria,Austria,AUT,map-vcp-wmocc
Azerbaijan,Azerbaijan,AZE,map-vcp-wmocc
Bahamas,Bahamas,BHS,map-vcp-wmocc
Bahrain,Bahrain,BHR,map-vcp-wmocc
Bangladesh,Bangladesh,BGD,map-vcp-wmocc
Barbados,Barbados,BRB,map-vcp-wmocc
Belarus,Belarus,BLR,map-vcp-wmocc
Belgium,Belgium,BEL,map-vcp-wmocc
Belize,Belize,BLZ,map-vcp-wmocc
Benin,Benin,BEN,map-vcp-wmocc
Bhutan,Bhutan,BTN,map-vcp-wmocc
Bolivia,"Bolivia, Plurinational State of",BOL,map-vcp-wmocc
Bolivia (Plurinational State of),"Bolivia, Plurinational State of",BOL,levenshtein
"Bolivia, Plurinational State of","Bolivia, Plurinational State of",BOL,levenshtein
Bosnia and Herzegovina,Bosnia and Herzegovina,BIH,map-vcp-wmocc
Botswana,Botswana,BWA,map-vcp-wmocc
Brazil,Brazil,BRA,map-vcp-wmocc
British Caribbean Territories,British Caribbean Territories,BCT,map-vcp-wmocc
Brunei Darussalam,Brunei Darussalam,BRN,map-vcp-wmocc
Bulgaria,Bulgaria,BGR,map-vcp-wmocc
Burkina Faso,Burkina Faso,BFA,map-vcp-wmocc
Burundi,Burundi,BDI,map-vcp-wmocc
Cabo Verde,Cabo Verde,CPV,levenshtein
Cambodia,Cambodia,KHM,map-vcp-wmocc
Cameroon,Cameroon,CMR,map-vcp-wmocc
Cameroun,Cameroon,CMR,levenshtein
Canada,Canada,CAN,map-vcp-wmocc
Cape Verde,Cabo Verde,CPV,map-vcp-wmocc
Central African Republic,Central African Republic,CAF,map-vcp-wmocc
Chad,Chad,TCD,map-vcp-wmocc
Chile,Chile,CHL,map-vcp-wmocc
China,China,CHN,map-vcp-wmocc
Colombia,Colombia,COL,map-vcp-wmocc
Comoros,Comoros,COM,map-vcp-wmocc
Congo,Congo,COG,map-vcp-wmocc
Cook Islands,Cook Islands,COK,map-vcp-wmocc
Costa Rica,Costa Rica,CRI,map-vcp-wmocc
Côte d'Ivoire,Côte d'Ivoire,CIV,levenshtein
Côte D'Ivoire,Côte d'Ivoire,CIV,levenshtein
Croatia,Croatia,HRV,map-vcp-wmocc
Cuba,Cuba,CUB,map-vcp-wmocc
Curaçao and Sint Maarten,Curaçao and Sint Maarten,CUW,levenshtein
Cyprus,Cyprus,CYP,map-vcp-wmocc
Czech Republic,Czech Republic,CZE,map-vcp-wmocc
Democratic People's Republic of Korea,Democratic People's Republic of Korea,PRK,map-vcp-wmocc
Democratic Republic of the Congo,Democratic Republic of the Congo,COD,map-vcp-wmocc
Denmark,Denmark,DNK,map-vcp-wmocc
Djibouti,Djibouti,DJI,map-vcp-wmocc
Dominica,Dominica,DMA,map-vcp-wmocc
Dominican Republic,Dominican Republic,DOM,map-vcp-wmocc
Ecuador,Ecuador,ECU,map-vcp-wmocc
Egypt,Egypt,EGY,map-vcp-wmocc
El Salvador,El Salvador,SLV,map-vcp-wmocc
Eritrea,Eritrea,ERI,map-vcp-wmocc
Estonia,Estonia,EST,map-vcp-wmocc
Ethiopia,Ethiopia,ETH,map-vcp-wmocc
Etiopía,Ethiopia,ETH,levenshtein
Fiji,Fiji,FJI,map-vcp-wmocc
Finland,Finland,FIN,map-vcp-wmocc
France,France,FRA,map-vcp-wmocc
French Polynesia,French Polynesia,PYF,map-vcp-wmocc
Gabon,Gabon,GAB,map-vcp-wmocc
Gambia,Gambia,GMB,map-vcp-wmocc
Georgia,Georgia,GEO,map-vcp-wmocc
Germany,Germany,DEU,map-vcp-wmocc
Ghana,Ghana,GHA,map-vcp-wmocc
Greece,Greece,GRC,map-vcp-wmocc
Guatemala,Guatemala,GTM,map-vcp-wmocc
Guinea,Guinea,GIN,map-vcp-wmocc
Guinea Bissau,Guinea-Bissau,GNB,map-vcp-wmocc
Guinea-Bissau,Guinea-Bissau,GNB,map-vcp-wmocc
Guyana,Guyana,GUY,map-vcp-wmocc
Haiti,Haiti,HTI,map-vcp-wmocc
Honduras,Honduras,HND,map-vcp-wmocc
"Hong Kong, China","Hong Kong, China",HKG,levenshtein
Hungary,Hungary,HUN,map-vcp-wmocc
Iceland,Iceland,ISL,map-vcp-wmocc
India,India,IND,map-vcp-wmocc
Indonesia,Indonesia,IDN,map-vcp-wmocc
Iran,"Iran, Islamic Republic of",IRN,map-vcp-wmocc
Iran (Islamic Republic of),"Iran, Islamic Republic of",IRN,levenshtein
"Iran, Islamic Republic of","Iran, Islamic Republic of",IRN,levenshtein
