"ISO Country Code","English Country Name","French Country Name","Date of Membership","CPDB URL"
"AFG","Afghanistan","Afghanistan","1956-09-11 00:00:00","https://www.wmo.int/cpdb/dashboard/afghanistan"
"ALB","Albania","Albanie","1957-07-29 00:00:00","https://www.wmo.int/cpdb/dashboard/albania"
"DZA","Algeria","Algérie","1963-04-04 00:00:00","https://www.wmo.int/cpdb/dashboard/algeria"
"AGO","Angola","Angola","1977-03-16 00:00:00","https://www.wmo.int/cpdb/dashboard/angola"
"ATG","Antigua and Barbuda","Antigua-et-Barbuda","1988-11-16 00:00:00","https://www.wmo.int/cpdb/dashboard/antigua-and-barbuda"
"ARG","Argentina","Argentine","1951-01-02 00:00:00","https://www.wmo.int/cpdb/dashboard/argentina"
"ARM","Armenia","Arménie","1992-09-16 00:00:00","https://www.wmo.int/cpdb/dashboard/armenia"
"AUS","Australia","Australie","1949-03-14 00:00:00","https://www.wmo.int/cpdb/dashboard/australia"
"AUT","Austria","Autriche","1955-02-23 00:00:00","https://www.wmo.int/cpdb/dashboard/austria"
"AZE","Azerbaijan","Azerbaïdjan","1993-12-27 00:00:00","https://www.wmo.int/cpdb/dashboard/azerbaijan"
"BHS","Bahamas","Bahamas","1973-11-29 00:00:00","https://www.wmo.int/cpdb/dashboard/bahamas"
"BHR","Bahrain","Bahreïn","1980-04-21 00:00:00","https://www.wmo.int/cpdb/dashboard/bahrain"
"BGD","Bangladesh","Bangladesh","1973-08-24 00:00:00","https://www.wmo.int/cpdb/dashboard/bangladesh"
"BRB","Barbados","Barbade","1967-03-22 00:00:00","https://www.wmo.int/cpdb/dashboard/barbados"
"BLR","Belarus","Bélarus","1948-04-12 00:00:00","https://www.wmo.int/cpdb/dashboard/belarus"
"BEL","Belgium","Belgique","1951-02-02 00:00:00","https://www.wmo.int/cpdb/dashboard/belgium"
"BLZ","Belize","Belize","1982-05-25 00:00:00","https://www.wmo.int/cpdb/dashboard/belize"
"BEN","Benin","Bénin","1963-04-14 00:00:00","https://www.wmo.int/cpdb/dashboard/benin"
"BTN","Bhutan","Bhoutan","2003-02-11 00:00:00","https://www.wmo.int/cpdb/dashboard/bhutan"
"BOL","Bolivia, Plurinational State of","Bolivie, État plurinational de","1954-05-15 00:00:00","https://www.wmo.int/cpdb/dashboard/bolivia-plurinational-state-of"
"BIH","Bosnia and Herzegovina","Bosnie-Herzégovine","1994-06-01 00:00:00","https://www.wmo.int/cpdb/dashboard/bosnia-and-herzegovina"
"BWA","Botswana","Botswana","1967-10-16 00:00:00","https://www.wmo.int/cpdb/dashboard/botswana"
"BRA","Brazil","Brésil","1950-03-15 00:00:00","https://www.wmo.int/cpdb/dashboard/brazil"
"BCT","British Caribbean Territories","Territoires britanniques des Caraïbes","1953-09-24 00:00:00","https://www.wmo.int/cpdb/dashboard/british-caribbean-territories"
"BRN","Brunei Darussalam","Brunéi Darussalam","1984-11-26 00:00:00","https://www.wmo.int/cpdb/dashboard/brunei-darussalam"
"BGR","Bulgaria","Bulgarie","1952-03-12 00:00:00","https://www.wmo.int/cpdb/dashboard/bulgaria"
"BFA","Burkina Faso","Burkina Faso","1960-10-31 00:00:00","https://www.wmo.int/cpdb/dashboard/burkina-faso"
"BDI","Burundi","Burundi","1962-10-30 00:00:00","https://www.wmo.int/cpdb/dashboard/burundi"
"CPV","Cabo Verde","Cabo Verde","1975-10-21 00:00:00","https://www.wmo.int/cpdb/dashboard/cabo-verde"
"KHM","Cambodia","Cambodge","1955-11-08 00:00:00","https://www.wmo.int/cpdb/dashboard/cambodia"
"CMR","Cameroon","Cameroun","1960-12-17 00:00:00","https://www.wmo.int/cpdb/dashboard/cameroon"
"CAN","Canada","Canada","1950-07-28 00:00:00","https://www.wmo.int/cpdb/dashboard/canada"
"CAF","Central African Republic","République centrafricaine","1961-06-28 00:00:00","https://www.wmo.int/cpdb/dashboard/central-african-republic"
