"ISO Country Code","English Country Name","French Country Name","Date of Membership"
"AFG","Afghanistan","Afghanistan","1956-09-11 00:00:00"
"ALB","Albania","Albanie","1957-07-29 00:00:00"
"DZA","Algeria","Algérie","1963-04-04 00:00:00"
"AGO","Angola","Angola","1977-03-16 00:00:00"
"ATG","Antigua and Barbuda","Antigua-et-Barbuda","1988-11-16 00:00:00"
"ARG","Argentina","Argentine","1951-01-02 00:00:00"
"ARM","Armenia","Arménie","1992-09-16 00:00:00"
"AUS","Australia","Australie","1949-03-14 00:00:00"
"AUT","Austria","Autriche","1955-02-23 00:00:00"
"AZE","Azerbaijan","Azerbaïdjan","1993-12-27 00:00:00"
"BHS","Bahamas","Bahamas","1973-11-29 00:00:00"
"BHR","Bahrain","Bahreïn","1980-04-21 00:00:00"
"BGD","Bangladesh","Bangladesh","1973-08-24 00:00:00"
"BRB","Barbados","Barbade","1967-03-22 00:00:00"
"BLR","Belarus","Bélarus","1948-04-12 00:00:00"
"BEL","Belgium","Belgique","1951-02-02 00:00:00"
"BLZ","Belize","Belize","1982-05-25 00:00:00"
"BEN","Benin","Bénin","1963-04-14 00:00:00"
"BTN","Bhutan","Bhoutan","2003-02-11 00:00:00"
"BOL","Bolivia, Plurinational State of","Bolivie, État plurinational de","1954-05-15 00:00:00"
"BIH","Bosnia and Herzegovina","Bosnie-Herzégovine","1994-06-01 00:00:00"
"BWA","Botswana","Botswana","1967-10-16 00:00:00"
"BRA","Brazil","Brésil","1950-03-15 00:00:00"
"BRN","Brunei Darussalam","Brunéi Darussalam","1984-11-26 00:00:00"
"BGR","Bulgaria","Bulgarie","1952-03-12 00:00:00"
"BFA","Burkina Faso","Burkina Faso","1960-10-31 00:00:00"
"BDI","Burundi","Burundi","1962-10-30 00:00:00"
"CPV","Cabo Verde","Cabo Verde","1975-10-21 00:00:00"
"KHM","Cambodia","Cambodge","1955-11-08 00:00:00"
"CMR","Cameroon","Cameroun","1960-12-17 00:00:00"
"CAN","Canada","Canada","1950-07-28 00:00:00"
"CAF","Central African Republic","République centrafricaine","1961-06-28 00:00:00"
"TCD","Chad","Tchad","1961-02-02 00:00:00"
"CHL","Chile","Chili","1957-05-09 00:00:00"
"CHN","China","Chine","1951-04-01 00:00:00"
"COL","Colombia","Colombie","1962-01-05 00:00:00"
"COM","Comoros","Comores","1976-03-19 00:00:00"
"COG","Congo","Congo","1960-11-21 00:00:00"
"COK","Cook Islands","Iles Cook","1995-10-18 00:00:00"
"CRI","Costa Rica","Costa Rica","1960-12-16 00:00:00"
"CIV","Côte d'Ivoire","Côte d'Ivoire","1960-10-31 00:00:00"
"HRV","Croatia","Croatie","1992-10-09 00:00:00"
"CUB","Cuba","Cuba","1952-03-04 00:00:00"
"CYP","Cyprus","Chypre","1963-04-11 00:00:00"
"CZE","Czech Republic","République tchèque","1993-01-25 00:00:00"
"PRK","Democratic People's Republic of Korea","République populaire démocratique de Corée","1975-05-27 00:00:00"
"COD","Democratic Republic of the Congo","République démocratique du Congo","1960-11-05 00:00:00"
"DNK","Denmark","Danemark","1951-07-10 00:00:00"
"DJI","Djibouti","Djibouti","1978-06-30 00:00:00"
"DMA","Dominica","Dominique","1980-02-21 00:00:00"
"DOM","Dominican Republic","République dominicaine","1949-09-15 00:00:00"
"ECU","Ecuador","Equateur","1951-06-07 00:00:00"
"EGY","Egypt","Egypte","1950-01-10 00:00:00"
"SLV","El Salvador","El Salvador","1955-05-27 00:00:00"
"ERI","Eritrea","Erythrée","1993-07-08 00:00:00"
"EST","Estonia","Estonie","1992-08-21 00:00:00"
"ETH","Ethiopia","Ethiopie","1953-12-03 00:00:00"
"FJI","Fiji","Fidji","1980-03-18 00:00:00"
"FIN","Finland","Finlande","1949-01-07 00:00:00"
"FRA","France","France","1949-12-05 00:00:00"
"GAB","Gabon","Gabon","1961-06-05 00:00:00"
"GMB","Gambia","Gambie","1978-10-02 00:00:00"
"GEO","Georgia","Géorgie","1993-09-01 00:00:00"
"DEU","Germany","Allemagne","1954-06-10 00:00:00"
"GHA","Ghana","Ghana","1957-05-06 00:00:00"
"GRC","Greece","Grèce","1950-01-20 00:00:00"
"GTM","Guatemala","Guatemala","1952-03-21 00:00:00"
"GIN","Guinea","Guinée","1959-03-27 00:00:00"
"GNB","Guinea-Bissau","Guinée-Bissau","1977-12-15 00:00:00"
"GUY","Guyana","Guyana","1966-11-22 00:00:00"
"HTI","Haiti","Haïti","1951-08-14 00:00:00"
"HND","Honduras","Honduras","1960-10-10 00:00:00"
"HUN","Hungary","Hongrie","1951-02-15 00:00:00"
"ISL","Iceland","Islande","1948-01-16 00:00:00"
"IND","India","Inde","1949-04-27 00:00:00"
"IDN","Indonesia","Indonésie","1950-11-16 00:00:00"
"IRN","Iran, Islamic Republic of","Iran, République islamique d'","1959-09-30 00:00:00"
"IRQ","Iraq","Iraq","1950-02-21 00:00:00"
"IRL","Ireland","Irlande","1950-03-14 00:00:00"
"ISR","Israel","Israël","1949-09-30 00:00:00"
"ITA","Italy","Italie","1951-01-09 00:00:00"
"JAM","Jamaica","Jamaïque","1963-05-29 00:00:00"
"JPN","Japan","Japon","1953-08-11 00:00:00"
"JOR","Jordan","Jordanie","1955-07-11 00:00:00"
"KAZ","Kazakhstan","Kazakhstan","1993-05-05 00:00:00"
"KEN","Kenya","Kenya","1964-06-02 00:00:00"
"KIR","Kiribati","Kiribati","2003-03-26 00:00:00"
"KWT","Kuwait","Koweït","1962-12-01 00:00:00"
"KGZ","Kyrgyzstan","Kirghizistan","1994-07-20 00:00:00"
"LAO","Lao People's Democratic Republic","République démocratique populaire lao","1955-06-01 00:00:00"
"LVA","Latvia","Lettonie","1992-05-15 00:00:00"
