IPCC,UN,WMO,iso3_code,common_name,wikipedia_url,cpdb_url
IPCC,UN,"NOT WMO",AND,Andorra,https://en.wikipedia.org/wiki/Andorra,
IPCC,UN,"NOT WMO",GNQ,"Equatorial Guinea",https://en.wikipedia.org/wiki/Equatorial_Guinea,
IPCC,UN,"NOT WMO",GRD,Grenada,https://en.wikipedia.org/wiki/Grenada,
IPCC,UN,"NOT WMO",LIE,Liechtenstein,https://en.wikipedia.org/wiki/Liechtenstein,
IPCC,UN,"NOT WMO",MHL,"Marshall Islands",https://en.wikipedia.org/wiki/Marshall_Islands,
IPCC,UN,"NOT WMO",NRU,Nauru,https://en.wikipedia.org/wiki/Nauru,
IPCC,UN,"NOT WMO",PLW,Palau,https://en.wikipedia.org/wiki/Palau,
IPCC,UN,"NOT WMO",SMR,"San Marino",https://en.wikipedia.org/wiki/San_Marino,
IPCC,UN,"NOT WMO",KNA,"St. Kitts & Nevis",https://en.wikipedia.org/wiki/Saint_Kitts_and_Nevis,
IPCC,UN,"NOT WMO",VCT,"St. Vincent & Grenadines",https://en.wikipedia.org/wiki/Saint_Vincent_and_the_Grenadines,
IPCC,UN,"WMO State",AFG,Afghanistan,https://en.wikipedia.org/wiki/Afghanistan,https://www.wmo.int/cpdb/dashboard/afghanistan
IPCC,UN,"WMO State",ALB,Albania,https://en.wikipedia.org/wiki/Albania,https://www.wmo.int/cpdb/dashboard/albania
IPCC,UN,"WMO State",DZA,Algeria,https://en.wikipedia.org/wiki/Algeria,https://www.wmo.int/cpdb/dashboard/algeria
IPCC,UN,"WMO State",AGO,Angola,https://en.wikipedia.org/wiki/Angola,https://www.wmo.int/cpdb/dashboard/angola
IPCC,UN,"WMO State",ATG,"Antigua & Barbuda",https://en.wikipedia.org/wiki/Antigua_and_Barbuda,https://www.wmo.int/cpdb/dashboard/antigua-and-barbuda
IPCC,UN,"WMO State",ARG,Argentina,https://en.wikipedia.org/wiki/Argentina,https://www.wmo.int/cpdb/dashboard/argentina
IPCC,UN,"WMO State",ARM,Armenia,https://en.wikipedia.org/wiki/Armenia,https://www.wmo.int/cpdb/dashboard/armenia
IPCC,UN,"WMO State",AUS,Australia,https://en.wikipedia.org/wiki/Australia,https://www.wmo.int/cpdb/dashboard/australia
IPCC,UN,"WMO State",AUT,Austria,https://en.wikipedia.org/wiki/Austria,https://www.wmo.int/cpdb/dashboard/austria
IPCC,UN,"WMO State",AZE,Azerbaijan,https://en.wikipedia.org/wiki/Azerbaijan,https://www.wmo.int/cpdb/dashboard/azerbaijan
IPCC,UN,"WMO State",BHS,Bahamas,https://en.wikipedia.org/wiki/The_Bahamas,https://www.wmo.int/cpdb/dashboard/bahamas
IPCC,UN,"WMO State",BHR,Bahrain,https://en.wikipedia.org/wiki/Bahrain,https://www.wmo.int/cpdb/dashboard/bahrain
IPCC,UN,"WMO State",BGD,Bangladesh,https://en.wikipedia.org/wiki/Bangladesh,https://www.wmo.int/cpdb/dashboard/bangladesh
IPCC,UN,"WMO State",BRB,Barbados,https://en.wikipedia.org/wiki/Barbados,https://www.wmo.int/cpdb/dashboard/barbados
IPCC,UN,"WMO State",BLR,Belarus,https://en.wikipedia.org/wiki/Belarus,https://www.wmo.int/cpdb/dashboard/belarus
IPCC,UN,"WMO State",BEL,Belgium,https://en.wikipedia.org/wiki/Belgium,https://www.wmo.int/cpdb/dashboard/belgium
IPCC,UN,"WMO State",BLZ,Belize,https://en.wikipedia.org/wiki/Belize,https://www.wmo.int/cpdb/dashboard/belize
IPCC,UN,"WMO State",BEN,Benin,https://en.wikipedia.org/wiki/Benin,https://www.wmo.int/cpdb/dashboard/benin
IPCC,UN,"WMO State",BTN,Bhutan,https://en.wikipedia.org/wiki/Bhutan,https://www.wmo.int/cpdb/dashboard/bhutan
IPCC,UN,"WMO State",BOL,Bolivia,https://en.wikipedia.org/wiki/Bolivia,https://www.wmo.int/cpdb/dashboard/bolivia-plurinational-state-of
IPCC,UN,"WMO State",BIH,"Bosnia & Herzegovina",https://en.wikipedia.org/wiki/Bosnia_and_Herzegovina,https://www.wmo.int/cpdb/dashboard/bosnia-and-herzegovina
IPCC,UN,"WMO State",BWA,Botswana,https://en.wikipedia.org/wiki/Botswana,https://www.wmo.int/cpdb/dashboard/botswana
IPCC,UN,"WMO State",BRA,Brazil,https://en.wikipedia.org/wiki/Brazil,https://www.wmo.int/cpdb/dashboard/brazil
IPCC,UN,"WMO State",BRN,Brunei,https://en.wikipedia.org/wiki/Brunei,https://www.wmo.int/cpdb/dashboard/brunei-darussalam
IPCC,UN,"WMO State",BGR,Bulgaria,https://en.wikipedia.org/wiki/Bulgaria,https://www.wmo.int/cpdb/dashboard/bulgaria
IPCC,UN,"WMO State",BFA,"Burkina Faso",https://en.wikipedia.org/wiki/Burkina_Faso,https://www.wmo.int/cpdb/dashboard/burkina-faso
IPCC,UN,"WMO State",BDI,Burundi,https://en.wikipedia.org/wiki/Burundi,https://www.wmo.int/cpdb/dashboard/burundi
IPCC,UN,"WMO State",KHM,Cambodia,https://en.wikipedia.org/wiki/Cambodia,https://www.wmo.int/cpdb/dashboard/cambodia
IPCC,UN,"WMO State",CMR,Cameroon,https://en.wikipedia.org/wiki/Cameroon,https://www.wmo.int/cpdb/dashboard/cameroon
IPCC,UN,"WMO State",CAN,Canada,https://en.wikipedia.org/wiki/Canada,https://www.wmo.int/cpdb/dashboard/canada
IPCC,UN,"WMO State",CPV,"Cape Verde",https://en.wikipedia.org/wiki/Cape_Verde,https://www.wmo.int/cpdb/dashboard/cabo-verde
IPCC,UN,"WMO State",CAF,"Central African Republic",https://en.wikipedia.org/wiki/Central_African_Republic,https://www.wmo.int/cpdb/dashboard/central-african-republic
IPCC,UN,"WMO State",TCD,Chad,https://en.wikipedia.org/wiki/Chad,https://www.wmo.int/cpdb/dashboard/chad
IPCC,UN,"WMO State",CHL,Chile,https://en.wikipedia.org/wiki/Chile,https://www.wmo.int/cpdb/dashboard/chile
IPCC,UN,"WMO State",CHN,China,https://en.wikipedia.org/wiki/China,https://www.wmo.int/cpdb/dashboard/china
IPCC,UN,"WMO State",COL,Colombia,https://en.wikipedia.org/wiki/Colombia,https://www.wmo.int/cpdb/dashboard/colombia
IPCC,UN,"WMO State",COM,Comoros,https://en.wikipedia.org/wiki/Comoros,https://www.wmo.int/cpdb/dashboard/comoros
IPCC,UN,"WMO State",COG,"Congo - Brazzaville",https://en.wikipedia.org/wiki/Republic_of_the_Congo,https://www.wmo.int/cpdb/dashboard/congo
IPCC,UN,"WMO State",COD,"Congo - Kinshasa",https://en.wikipedia.org/wiki/Democratic_Republic_of_the_Congo,https://www.wmo.int/cpdb/dashboard/democratic-republic-of-the-congo
IPCC,UN,"WMO State",CRI,"Costa Rica",https://en.wikipedia.org/wiki/Costa_Rica,https://www.wmo.int/cpdb/dashboard/costa-rica
IPCC,UN,"WMO State",HRV,Croatia,https://en.wikipedia.org/wiki/Croatia,https://www.wmo.int/cpdb/dashboard/croatia
IPCC,UN,"WMO State",CUB,Cuba,https://en.wikipedia.org/wiki/Cuba,https://www.wmo.int/cpdb/dashboard/cuba
IPCC,UN,"WMO State",CYP,Cyprus,https://en.wikipedia.org/wiki/Cyprus,https://www.wmo.int/cpdb/dashboard/cyprus
IPCC,UN,"WMO State",CZE,"Czech Republic",https://en.wikipedia.org/wiki/Czech_Republic,https://www.wmo.int/cpdb/dashboard/czech-republic
IPCC,UN,"WMO State",CIV,"Côte d’Ivoire",https://en.wikipedia.org/wiki/Ivory_Coast,https://www.wmo.int/cpdb/dashboard/cote-d-ivoire
IPCC,UN,"WMO State",DNK,Denmark,https://en.wikipedia.org/wiki/Denmark,https://www.wmo.int/cpdb/dashboard/denmark
IPCC,UN,"WMO State",DJI,Djibouti,https://en.wikipedia.org/wiki/Djibouti,https://www.wmo.int/cpdb/dashboard/djibouti
IPCC,UN,"WMO State",DMA,Dominica,https://en.wikipedia.org/wiki/Dominica,https://www.wmo.int/cpdb/dashboard/dominica
IPCC,UN,"WMO State",DOM,"Dominican Republic",https://en.wikipedia.org/wiki/Dominican_Republic,https://www.wmo.int/cpdb/dashboard/dominican-republic
IPCC,UN,"WMO State",ECU,Ecuador,https://en.wikipedia.org/wiki/Ecuador,https://www.wmo.int/cpdb/dashboard/ecuador
IPCC,UN,"WMO State",EGY,Egypt,https://en.wikipedia.org/wiki/Egypt,https://www.wmo.int/cpdb/dashboard/egypt
IPCC,UN,"WMO State",SLV,"El Salvador",https://en.wikipedia.org/wiki/El_Salvador,https://www.wmo.int/cpdb/dashboard/el-salvador
IPCC,UN,"WMO State",ERI,Eritrea,https://en.wikipedia.org/wiki/Eritrea,https://www.wmo.int/cpdb/dashboard/eritrea
IPCC,UN,"WMO State",EST,Estonia,https://en.wikipedia.org/wiki/Estonia,https://www.wmo.int/cpdb/dashboard/estonia
IPCC,UN,"WMO State",ETH,Ethiopia,https://en.wikipedia.org/wiki/Ethiopia,https://www.wmo.int/cpdb/dashboard/ethiopia
IPCC,UN,"WMO State",FJI,Fiji,https://en.wikipedia.org/wiki/Fiji,https://www.wmo.int/cpdb/dashboard/fiji
IPCC,UN,"WMO State",FIN,Finland,https://en.wikipedia.org/wiki/Finland,https://www.wmo.int/cpdb/dashboard/finland
IPCC,UN,"WMO State",FRA,France,https://en.wikipedia.org/wiki/France,https://www.wmo.int/cpdb/dashboard/france
IPCC,UN,"WMO State",GAB,Gabon,https://en.wikipedia.org/wiki/Gabon,https://www.wmo.int/cpdb/dashboard/gabon
IPCC,UN,"WMO State",GMB,Gambia,https://en.wikipedia.org/wiki/The_Gambia,https://www.wmo.int/cpdb/dashboard/gambia
IPCC,UN,"WMO State",GEO,Georgia,https://en.wikipedia.org/wiki/Georgia_(country),https://www.wmo.int/cpdb/dashboard/georgia
IPCC,UN,"WMO State",DEU,Germany,https://en.wikipedia.org/wiki/Germany,https://www.wmo.int/cpdb/dashboard/germany
IPCC,UN,"WMO State",GHA,Ghana,https://en.wikipedia.org/wiki/Ghana,https://www.wmo.int/cpdb/dashboard/ghana
IPCC,UN,"WMO State",GRC,Greece,https://en.wikipedia.org/wiki/Greece,https://www.wmo.int/cpdb/dashboard/greece
IPCC,UN,"WMO State",GTM,Guatemala,https://en.wikipedia.org/wiki/Guatemala,https://www.wmo.int/cpdb/dashboard/guatemala
IPCC,UN,"WMO State",GIN,Guinea,https://en.wikipedia.org/wiki/Guinea,https://www.wmo.int/cpdb/dashboard/guinea
IPCC,UN,"WMO State",GNB,Guinea-Bissau,https://en.wikipedia.org/wiki/Guinea-Bissau,https://www.wmo.int/cpdb/dashboard/guinea-bissau
IPCC,UN,"WMO State",GUY,Guyana,https://en.wikipedia.org/wiki/Guyana,https://www.wmo.int/cpdb/dashboard/guyana
IPCC,UN,"WMO State",HTI,Haiti,https://en.wikipedia.org/wiki/Haiti,https://www.wmo.int/cpdb/dashboard/haiti
IPCC,UN,"WMO State",HND,Honduras,https://en.wikipedia.org/wiki/Honduras,https://www.wmo.int/cpdb/dashboard/honduras
IPCC,UN,"WMO State",HUN,Hungary,https://en.wikipedia.org/wiki/Hungary,https://www.wmo.int/cpdb/dashboard/hungary
IPCC,UN,"WMO State",ISL,Iceland,https://en.wikipedia.org/wiki/Iceland,https://www.wmo.int/cpdb/dashboard/iceland
IPCC,UN,"WMO State",IND,India,https://en.wikipedia.org/wiki/India,https://www.wmo.int/cpdb/dashboard/india
IPCC,UN,"WMO State",IDN,Indonesia,https://en.wikipedia.org/wiki/Indonesia,https://www.wmo.int/cpdb/dashboard/indonesia
IPCC,UN,"WMO State",IRN,Iran,https://en.wikipedia.org/wiki/Iran,https://www.wmo.int/cpdb/dashboard/iran-islamic-republic-of
IPCC,UN,"WMO State",IRQ,Iraq,https://en.wikipedia.org/wiki/Iraq,https://www.wmo.int/cpdb/dashboard/iraq
IPCC,UN,"WMO State",IRL,Ireland,https://en.wikipedia.org/wiki/Republic_of_Ireland,https://www.wmo.int/cpdb/dashboard/ireland
IPCC,UN,"WMO State",ISR,Israel,https://en.wikipedia.org/wiki/Israel,https://www.wmo.int/cpdb/dashboard/israel
IPCC,UN,"WMO State",ITA,Italy,https://en.wikipedia.org/wiki/Italy,https://www.wmo.int/cpdb/dashboard/italy
IPCC,UN,"WMO State",JAM,Jamaica,https://en.wikipedia.org/wiki/Jamaica,https://www.wmo.int/cpdb/dashboard/jamaica
IPCC,UN,"WMO State",JPN,Japan,https://en.wikipedia.org/wiki/Japan,https://www.wmo.int/cpdb/dashboard/japan
IPCC,UN,"WMO State",JOR,Jordan,https://en.wikipedia.org/wiki/Jordan,https://www.wmo.int/cpdb/dashboard/jordan
IPCC,UN,"WMO State",KAZ,Kazakhstan,https://en.wikipedia.org/wiki/Kazakhstan,https://www.wmo.int/cpdb/dashboard/kazakhstan
IPCC,UN,"WMO State",KEN,Kenya,https://en.wikipedia.org/wiki/Kenya,https://www.wmo.int/cpdb/dashboard/kenya
IPCC,UN,"WMO State",KIR,Kiribati,https://en.wikipedia.org/wiki/Kiribati,https://www.wmo.int/cpdb/dashboard/kiribati
