first_letter,iso3_code,common_name,official_name,flag,wikipedia_url
A,AFG,Afghanistan,"Islamic Republic of Afghanistan",flag-of-afghanistan,https://en.wikipedia.org/wiki/Afghanistan
A,ALB,Albania,"Republic of Albania",flag-of-albania,https://en.wikipedia.org/wiki/Albania
A,DZA,Algeria,"People's Democratic Republic of Algeria",flag-of-algeria,https://en.wikipedia.org/wiki/Algeria
A,AND,Andorra,"Principality of Andorra",flag-of-andorra,https://en.wikipedia.org/wiki/Andorra
A,AGO,Angola,"Republic of Angola",flag-of-angola,https://en.wikipedia.org/wiki/Angola
A,ATG,"Antigua & Barbuda","Antigua and Barbuda",flag-of-antigua-and-barbuda,https://en.wikipedia.org/wiki/Antigua_and_Barbuda
A,ARG,Argentina,"Argentine Republic",flag-of-argentina,https://en.wikipedia.org/wiki/Argentina
A,ARM,Armenia,"Republic of Armenia",flag-of-armenia,https://en.wikipedia.org/wiki/Armenia
A,AUS,Australia,Australia,flag-of-australia,https://en.wikipedia.org/wiki/Australia
A,AUT,Austria,"Republic of Austria",flag-of-austria,https://en.wikipedia.org/wiki/Austria
A,AZE,Azerbaijan,"Republic of Azerbaijan",flag-of-azerbaijan,https://en.wikipedia.org/wiki/Azerbaijan
B,BHS,Bahamas,"Commonwealth of the Bahamas",flag-of-the-bahamas,https://en.wikipedia.org/wiki/The_Bahamas
B,BHR,Bahrain,"Kingdom of Bahrain",flag-of-bahrain,https://en.wikipedia.org/wiki/Bahrain
B,BGD,Bangladesh,"People's Republic of Bangladesh",flag-of-bangladesh,https://en.wikipedia.org/wiki/Bangladesh
B,BRB,Barbados,Barbados,flag-of-barbados,https://en.wikipedia.org/wiki/Barbados
B,BLR,Belarus,"Republic of Belarus",flag-of-belarus,https://en.wikipedia.org/wiki/Belarus
B,BEL,Belgium,"Kingdom of Belgium",flag-of-belgium,https://en.wikipedia.org/wiki/Belgium
B,BLZ,Belize,Belize,flag-of-belize,https://en.wikipedia.org/wiki/Belize
B,BEN,Benin,"Republic of Benin",flag-of-benin,https://en.wikipedia.org/wiki/Benin
B,BTN,Bhutan,"Kingdom of Bhutan",flag-of-bhutan,https://en.wikipedia.org/wiki/Bhutan
B,BOL,Bolivia,"Plurinational State of Bolivia",flag-of-bolivia,https://en.wikipedia.org/wiki/Bolivia
B,BIH,"Bosnia & Herzegovina","Republic of Bosnia and Herzegovina",flag-of-bosnia-and-herzegovina,https://en.wikipedia.org/wiki/Bosnia_and_Herzegovina
B,BWA,Botswana,"Republic of Botswana",flag-of-botswana,https://en.wikipedia.org/wiki/Botswana
B,BRA,Brazil,"Federative Republic of Brazil",flag-of-brazil,https://en.wikipedia.org/wiki/Brazil
B,BRN,Brunei,"Brunei Darussalam",flag-of-brunei,https://en.wikipedia.org/wiki/Brunei
B,BGR,Bulgaria,"Republic of Bulgaria",flag-of-bulgaria,https://en.wikipedia.org/wiki/Bulgaria
B,BFA,"Burkina Faso","Burkina Faso",flag-of-burkina-faso,https://en.wikipedia.org/wiki/Burkina_Faso
B,BDI,Burundi,"Republic of Burundi",flag-of-burundi,https://en.wikipedia.org/wiki/Burundi
C,KHM,Cambodia,"Kingdom of Cambodia",flag-of-cambodia,https://en.wikipedia.org/wiki/Cambodia
C,CMR,Cameroon,"Republic of Cameroon",flag-of-cameroon,https://en.wikipedia.org/wiki/Cameroon
C,CAN,Canada,Canada,flag-of-canada,https://en.wikipedia.org/wiki/Canada
C,CPV,"Cape Verde","Republic of Cape Verde",flag-of-cape-verde,https://en.wikipedia.org/wiki/Cape_Verde
C,CAF,"Central African Republic","Central African Republic",flag-of-the-central-african-republic,https://en.wikipedia.org/wiki/Central_African_Republic
C,TCD,Chad,"Republic of Chad",flag-of-chad,https://en.wikipedia.org/wiki/Chad
C,CHL,Chile,"Republic of Chile",flag-of-chile,https://en.wikipedia.org/wiki/Chile
C,CHN,China,"People's Republic of China","flag-of-the-people's-republic-of-china",https://en.wikipedia.org/wiki/China
C,COL,Colombia,"Republic of Colombia",flag-of-colombia,https://en.wikipedia.org/wiki/Colombia
C,COM,Comoros,"Union of the Comoros",flag-of-the-comoros,https://en.wikipedia.org/wiki/Comoros
C,COG,"Congo - Brazzaville","Republic of the Congo",flag-of-the-republic-of-the-congo,https://en.wikipedia.org/wiki/Republic_of_the_Congo
C,COD,"Congo - Kinshasa","The Democratic Republic of the Congo",flag-of-the-democratic-republic-of-the-congo,https://en.wikipedia.org/wiki/Democratic_Republic_of_the_Congo
C,COK,"Cook Islands","Cook Islands",flag-of-the-cook-islands,https://en.wikipedia.org/wiki/Cook_Islands
C,CRI,"Costa Rica","Republic of Costa Rica",flag-of-costa-rica,https://en.wikipedia.org/wiki/Costa_Rica
C,HRV,Croatia,"Republic of Croatia",flag-of-croatia,https://en.wikipedia.org/wiki/Croatia
C,CUB,Cuba,"Republic of Cuba",flag-of-cuba,https://en.wikipedia.org/wiki/Cuba
C,CYP,Cyprus,"Republic of Cyprus",flag-of-cyprus,https://en.wikipedia.org/wiki/Cyprus
C,CZE,"Czech Republic","Czech Republic",flag-of-the-czech-republic,https://en.wikipedia.org/wiki/Czech_Republic
C,CIV,"Côte d’Ivoire","Republic of Côte d'Ivoire","flag-of-cote-d'ivoire",https://en.wikipedia.org/wiki/Ivory_Coast
D,DNK,Denmark,"Kingdom of Denmark",flag-of-denmark,https://en.wikipedia.org/wiki/Denmark
D,DJI,Djibouti,"Republic of Djibouti",flag-of-djibouti,https://en.wikipedia.org/wiki/Djibouti
D,DMA,Dominica,"Commonwealth of Dominica",flag-of-dominica,https://en.wikipedia.org/wiki/Dominica
D,DOM,"Dominican Republic","Dominican Republic",flag-of-the-dominican-republic,https://en.wikipedia.org/wiki/Dominican_Republic
E,ECU,Ecuador,"Republic of Ecuador",flag-of-ecuador,https://en.wikipedia.org/wiki/Ecuador
E,EGY,Egypt,"Arab Republic of Egypt",flag-of-egypt,https://en.wikipedia.org/wiki/Egypt
E,SLV,"El Salvador","Republic of El Salvador",flag-of-el-salvador,https://en.wikipedia.org/wiki/El_Salvador
E,GNQ,"Equatorial Guinea","Republic of Equatorial Guinea",flag-of-equatorial-guinea,https://en.wikipedia.org/wiki/Equatorial_Guinea
E,ERI,Eritrea,"the State of Eritrea",flag-of-eritrea,https://en.wikipedia.org/wiki/Eritrea
E,EST,Estonia,"Republic of Estonia",flag-of-estonia,https://en.wikipedia.org/wiki/Estonia
E,ETH,Ethiopia,"Federal Democratic Republic of Ethiopia",flag-of-ethiopia,https://en.wikipedia.org/wiki/Ethiopia
F,FJI,Fiji,"Republic of Fiji",flag-of-fiji,https://en.wikipedia.org/wiki/Fiji
F,FIN,Finland,"Republic of Finland",flag-of-finland,https://en.wikipedia.org/wiki/Finland
F,FRA,France,"French Republic",flag-of-france,https://en.wikipedia.org/wiki/France
G,GAB,Gabon,"Gabonese Republic",flag-of-gabon,https://en.wikipedia.org/wiki/Gabon
G,GMB,Gambia,"Republic of the Gambia",flag-of-the-gambia,https://en.wikipedia.org/wiki/The_Gambia
G,GEO,Georgia,Georgia,flag-of-georgia,https://en.wikipedia.org/wiki/Georgia_(country)
G,DEU,Germany,"Federal Republic of Germany",flag-of-germany,https://en.wikipedia.org/wiki/Germany
G,GHA,Ghana,"Republic of Ghana",flag-of-ghana,https://en.wikipedia.org/wiki/Ghana
G,GRC,Greece,"Hellenic Republic",flag-of-greece,https://en.wikipedia.org/wiki/Greece
G,GRD,Grenada,Grenada,flag-of-grenada,https://en.wikipedia.org/wiki/Grenada
G,GTM,Guatemala,"Republic of Guatemala",flag-of-guatemala,https://en.wikipedia.org/wiki/Guatemala
G,GIN,Guinea,"Republic of Guinea",flag-of-guinea,https://en.wikipedia.org/wiki/Guinea
G,GNB,Guinea-Bissau,"Republic of Guinea-Bissau",flag-of-guinea-bissau,https://en.wikipedia.org/wiki/Guinea-Bissau
G,GUY,Guyana,"Republic of Guyana",flag-of-guyana,https://en.wikipedia.org/wiki/Guyana
H,HTI,Haiti,"Republic of Haiti",flag-of-haiti,https://en.wikipedia.org/wiki/Haiti
H,HND,Honduras,"Republic of Honduras",flag-of-honduras,https://en.wikipedia.org/wiki/Honduras
H,HUN,Hungary,Hungary,flag-of-hungary,https://en.wikipedia.org/wiki/Hungary
I,ISL,Iceland,"Republic of Iceland",flag-of-iceland,https://en.wikipedia.org/wiki/Iceland
I,IND,India,"Republic of India",flag-of-india,https://en.wikipedia.org/wiki/India
I,IDN,Indonesia,"Republic of Indonesia",flag-of-indonesia,https://en.wikipedia.org/wiki/Indonesia
I,IRN,Iran,"Islamic Republic of Iran",flag-of-iran,https://en.wikipedia.org/wiki/Iran
I,IRQ,Iraq,"Republic of Iraq",flag-of-iraq,https://en.wikipedia.org/wiki/Iraq
I,IRL,Ireland,Ireland,flag-of-ireland,https://en.wikipedia.org/wiki/Republic_of_Ireland
I,ISR,Israel,"State of Israel",flag-of-israel,https://en.wikipedia.org/wiki/Israel
I,ITA,Italy,"Italian Republic",flag-of-italy,https://en.wikipedia.org/wiki/Italy
J,JAM,Jamaica,Jamaica,flag-of-jamaica,https://en.wikipedia.org/wiki/Jamaica
J,JPN,Japan,Japan,flag-of-japan,https://en.wikipedia.org/wiki/Japan
J,JOR,Jordan,"Hashemite Kingdom of Jordan",flag-of-jordan,https://en.wikipedia.org/wiki/Jordan
K,KAZ,Kazakhstan,"Republic of Kazakhstan",flag-of-kazakhstan,https://en.wikipedia.org/wiki/Kazakhstan
K,KEN,Kenya,"Republic of Kenya",flag-of-kenya,https://en.wikipedia.org/wiki/Kenya
K,KIR,Kiribati,"Republic of Kiribati",flag-of-kiribati,https://en.wikipedia.org/wiki/Kiribati
K,KWT,Kuwait,"State of Kuwait",flag-of-kuwait,https://en.wikipedia.org/wiki/Kuwait
K,KGZ,Kyrgyzstan,"Kyrgyz Republic",flag-of-kyrgyzstan,https://en.wikipedia.org/wiki/Kyrgyzstan
L,LAO,Laos,"Lao People's Democratic Republic",flag-of-laos,https://en.wikipedia.org/wiki/Laos
L,LVA,Latvia,"Republic of Latvia",flag-of-latvia,https://en.wikipedia.org/wiki/Latvia
L,LBN,Lebanon,"Lebanese Republic",flag-of-lebanon,https://en.wikipedia.org/wiki/Lebanon
L,LSO,Lesotho,"Kingdom of Lesotho",flag-of-lesotho,https://en.wikipedia.org/wiki/Lesotho
L,LBR,Liberia,"Republic of Liberia",flag-of-liberia,https://en.wikipedia.org/wiki/Liberia
L,LBY,Libya,Libya,flag-of-libya,https://en.wikipedia.org/wiki/Libya
L,LIE,Liechtenstein,"Principality of Liechtenstein",flag-of-liechtenstein,https://en.wikipedia.org/wiki/Liechtenstein
L,LTU,Lithuania,"Republic of Lithuania",flag-of-lithuania,https://en.wikipedia.org/wiki/Lithuania
